Oscar_Winner_ID,Winner,Award,Oscar_Award_ID,Movie_Name,Year_Ceremony,Year_Film
563,"Wilbur T. Blume, Producer",SHORT SUBJECT (Two-reel),OWA0029,The Face of Lincoln,1956,1955
564,"Todd-AO Sound Department, Fred Hynes, Sound Director",SOUND RECORDING,OWA0015,Oklahoma!,1956,1955
565,Paramount Studio,SPECIAL EFFECTS,OWA0033,The Bridges at Toko-Ri,1956,1955
566,Daniel Fuchs,WRITING (Motion Picture Story),OWA0046,Love Me or Leave Me,1956,1955
567,Paddy Chayefsky,WRITING (Screenplay),OWA0024,Marty,1956,1955
568,"William Ludwig, Sonya Levien",WRITING (Story and Screenplay),OWA0049,Interrupted Melody,1956,1955
569,Yul Brynner,ACTOR,OWA0001,The King and I,1957,1956
570,Anthony Quinn,ACTOR IN A SUPPORTING ROLE,OWA0025,Lust for Life,1957,1956
571,Ingrid Bergman,ACTRESS,OWA0002,Anastasia,1957,1956
572,Dorothy Malone,ACTRESS IN A SUPPORTING ROLE,OWA0026,Written on the Wind,1957,1956
573,"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",ART DIRECTION (Black-and-White),OWA0034,Somebody Up There Likes Me,1957,1956
574,"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",ART DIRECTION (Color),OWA0035,The King and I,1957,1956
575,Joseph Ruttenberg,CINEMATOGRAPHY (Black-and-White),OWA0031,Somebody Up There Likes Me,1957,1956
576,Lionel Lindon,CINEMATOGRAPHY (Color),OWA0032,Around the World in 80 Days,1957,1956
577,Jean Louis,COSTUME DESIGN (Black-and-White),OWA0047,The Solid Gold Cadillac,1957,1956
578,Irene Sharaff,COSTUME DESIGN (Color),OWA0048,The King and I,1957,1956
579,George Stevens,DIRECTING,OWA0012,Giant,1957,1956
580,"Jacques-Yves Cousteau, Producer",DOCUMENTARY (Feature),OWA0044,The Silent World,1957,1956
581,"Louis Clyde Stoumen, Producer",DOCUMENTARY (Short Subject),OWA0037,The True Story of the Civil War,1957,1956
582,"Gene Ruggiero, Paul Weatherwax",FILM EDITING,OWA0020,Around the World in 80 Days,1957,1956
583,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",FOREIGN LANGUAGE FILM,OWA0050,La Strada,1957,1956
584,Victor Young,MUSIC (Music Score of a Dramatic or Comedy Picture),OWA0042,Around the World in 80 Days,1957,1956
585,"Alfred Newman, Ken Darby",MUSIC (Scoring of a Musical Picture),OWA0039,The King and I,1957,1956
586,Music and Lyrics by Jay Livingston and Ray Evans,MUSIC (Song),OWA0022,The Man Who Knew Too Much,1957,1956
587,"Michael Todd, Producer",BEST MOTION PICTURE,OWA0045,Around the World in 80 Days,1957,1956
588,"Stephen Bosustow, Producer",SHORT SUBJECT (Cartoon),OWA0016,Mister Magoo's Puddle Jumper,1957,1956
589,"Konstantin Kalser, Producer",SHORT SUBJECT (One-reel),OWA0028,Crashing the Water Barrier,1957,1956
590,Romulus Films,SHORT SUBJECT (Two-reel),OWA0029,The Bespoke Overcoat,1957,1956
591,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",SOUND RECORDING,OWA0015,The King and I,1957,1956
592,John Fulton,SPECIAL EFFECTS,OWA0033,The Ten Commandments,1957,1956
593,Dalton Trumbo,WRITING (Motion Picture Story),OWA0046,The Brave One,1957,1956
594,"James Poe, John Farrow, S.J. Perelman",WRITING (Screenplay--Adapted),OWA0051,Around the World in 80 Days,1957,1956
595,Albert Lamorisse,WRITING (Screenplay--Original),OWA0052,The Red Balloon,1957,1956
596,Alec Guinness,ACTOR,OWA0001,The Bridge on the River Kwai,1958,1957
597,Red Buttons,ACTOR IN A SUPPORTING ROLE,OWA0025,Sayonara,1958,1957
598,Joanne Woodward,ACTRESS,OWA0002,The Three Faces of Eve,1958,1957
599,Miyoshi Umeki,ACTRESS IN A SUPPORTING ROLE,OWA0026,Sayonara,1958,1957
600,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,ART DIRECTION,OWA0003,Sayonara,1958,1957
601,Jack Hildyard,CINEMATOGRAPHY,OWA0004,The Bridge on the River Kwai,1958,1957
602,Orry-Kelly,COSTUME DESIGN,OWA0053,Les Girls,1958,1957
603,David Lean,DIRECTING,OWA0012,The Bridge on the River Kwai,1958,1957
604,"Jerome Hill, Producer",DOCUMENTARY (Feature),OWA0044,Albert Schweitzer,1958,1957
605,Peter Taylor,FILM EDITING,OWA0020,The Bridge on the River Kwai,1958,1957
606,Italy,FOREIGN LANGUAGE FILM,OWA0050,The Nights of Cabiria,1958,1957
607,Malcolm Arnold,MUSIC (Scoring),OWA0021,The Bridge on the River Kwai,1958,1957
608,Music by James Van Heusen; Lyrics by Sammy Cahn,MUSIC (Song),OWA0022,The Joker Is Wild,1958,1957
609,"Sam Spiegel, Producer",BEST MOTION PICTURE,OWA0045,The Bridge on the River Kwai,1958,1957
610,"Edward Selzer, Producer",SHORT SUBJECT (Cartoon),OWA0016,Birds Anonymous,1958,1957
611,"Larry Lansburgh, Producer",SHORT SUBJECT (Live Action),OWA0054,The Wetback Hound,1958,1957
612,"Warner Bros. Studio Sound Department, George Groves, Sound Director",SOUND RECORDING,OWA0015,Sayonara,1958,1957
613,Audible Effects by Walter Rossi,SPECIAL EFFECTS,OWA0033,The Enemy Below,1958,1957
614,"Michael Wilson, Carl Foreman, Pierre Boulle",WRITING (Screenplay--based on material from another medium),OWA0055,The Bridge on the River Kwai,1958,1957
615,George Wells,WRITING (Story and Screenplay--written directly for the screen),OWA0056,Designing Woman,1958,1957
616,David Niven,ACTOR,OWA0001,Separate Tables,1959,1958
617,Burl Ives,ACTOR IN A SUPPORTING ROLE,OWA0025,The Big Country,1959,1958
618,Susan Hayward,ACTRESS,OWA0002,I Want to Live!,1959,1958
619,Wendy Hiller,ACTRESS IN A SUPPORTING ROLE,OWA0026,Separate Tables,1959,1958
620,"Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason",ART DIRECTION,OWA0003,Gigi,1959,1958
621,Sam Leavitt,CINEMATOGRAPHY (Black-and-White),OWA0031,The Defiant Ones,1959,1958
622,Joseph Ruttenberg,CINEMATOGRAPHY (Color),OWA0032,Gigi,1959,1958
623,Cecil Beaton,COSTUME DESIGN,OWA0053,Gigi,1959,1958
624,Vincente Minnelli,DIRECTING,OWA0012,Gigi,1959,1958
625,"Ben Sharpsteen, Producer",DOCUMENTARY (Feature),OWA0044,White Wilderness,1959,1958
626,"Ben Sharpsteen, Producer",DOCUMENTARY (Short Subject),OWA0037,Ama Girls,1959,1958
627,Adrienne Fazan,FILM EDITING,OWA0020,Gigi,1959,1958
628,France,FOREIGN LANGUAGE FILM,OWA0050,My Uncle,1959,1958
629,Dimitri Tiomkin,MUSIC (Music Score of a Dramatic or Comedy Picture),OWA0042,The Old Man and the Sea,1959,1958
630,Andre Previn,MUSIC (Scoring of a Musical Picture),OWA0039,Gigi,1959,1958
631,Music by Frederick Loewe; Lyrics by Alan Jay Lerner,MUSIC (Song),OWA0022,Gigi,1959,1958
632,"Arthur Freed, Producer",BEST MOTION PICTURE,OWA0045,Gigi,1959,1958
633,"John W. Burton, Producer",SHORT SUBJECT (Cartoon),OWA0016,Knighty Knight Bugs,1959,1958
634,"Walt Disney, Producer",SHORT SUBJECT (Live Action),OWA0054,Grand Canyon,1959,1958
635,"Todd-AO Sound Department, Fred Hynes, Sound Director",SOUND,OWA0057,South Pacific,1959,1958
636,Visual Effects by Tom Howard,SPECIAL EFFECTS,OWA0033,tom thumb,1959,1958
637,Alan Jay Lerner,WRITING (Screenplay--based on material from another medium),OWA0055,Gigi,1959,1958
638,"Nedrick Young, Harold Jacob Smith",WRITING (Story and Screenplay--written directly for the screen),OWA0056,The Defiant Ones,1959,1958
639,Charlton Heston,ACTOR,OWA0001,Ben-Hur,1960,1959
640,Hugh Griffith,ACTOR IN A SUPPORTING ROLE,OWA0025,Ben-Hur,1960,1959
641,Simone Signoret,ACTRESS,OWA0002,Room at the Top,1960,1959
642,Shelley Winters,ACTRESS IN A SUPPORTING ROLE,OWA0026,The Diary of Anne Frank,1960,1959
643,"Art Direction:  Lyle R. Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",ART DIRECTION (Black-and-White),OWA0034,The Diary of Anne Frank,1960,1959
644,"Art Direction:  William A. Horning, Edward Carfagno;  Set Decoration:  Hugh Hunt",ART DIRECTION (Color),OWA0035,Ben-Hur,1960,1959
645,William C. Mellor,CINEMATOGRAPHY (Black-and-White),OWA0031,The Diary of Anne Frank,1960,1959
646,Robert L. Surtees,CINEMATOGRAPHY (Color),OWA0032,Ben-Hur,1960,1959
647,Orry-Kelly,COSTUME DESIGN (Black-and-White),OWA0047,Some Like It Hot,1960,1959
648,Elizabeth Haffenden,COSTUME DESIGN (Color),OWA0048,Ben-Hur,1960,1959
649,William Wyler,DIRECTING,OWA0012,Ben-Hur,1960,1959
650,"Bernhard Grzimek, Producer",DOCUMENTARY (Feature),OWA0044,Serengeti Shall Not Die,1960,1959
651,"Bert Haanstra, Producer",DOCUMENTARY (Short Subject),OWA0037,Glass,1960,1959
652,"Ralph E. Winters, John D. Dunning",FILM EDITING,OWA0020,Ben-Hur,1960,1959
653,France,FOREIGN LANGUAGE FILM,OWA0050,Black Orpheus,1960,1959
654,Miklos Rozsa,MUSIC (Music Score of a Dramatic or Comedy Picture),OWA0042,Ben-Hur,1960,1959
655,"Andre Previn, Ken Darby",MUSIC (Scoring of a Musical Picture),OWA0039,Porgy and Bess,1960,1959
656,Music by James Van Heusen; Lyrics by Sammy Cahn,MUSIC (Song),OWA0022,A Hole in the Head,1960,1959
657,"Sam Zimbalist, Producer",BEST MOTION PICTURE,OWA0045,Ben-Hur,1960,1959
658,"John Hubley, Producer",SHORT SUBJECT (Cartoon),OWA0016,Moonbird,1960,1959
659,"Jacques-Yves Cousteau, Producer",SHORT SUBJECT (Live Action),OWA0054,The Golden Fish,1960,1959
660,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",SOUND,OWA0057,Ben-Hur,1960,1959
661,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",SPECIAL EFFECTS,OWA0033,Ben-Hur,1960,1959
662,Neil Paterson,WRITING (Screenplay--based on material from another medium),OWA0055,Room at the Top,1960,1959
663,"Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin",WRITING (Story and Screenplay--written directly for the screen),OWA0056,Pillow Talk,1960,1959
664,Burt Lancaster,ACTOR,OWA0001,Elmer Gantry,1961,1960
665,Peter Ustinov,ACTOR IN A SUPPORTING ROLE,OWA0025,Spartacus,1961,1960
666,Elizabeth Taylor,ACTRESS,OWA0002,Butterfield 8,1961,1960
667,Shirley Jones,ACTRESS IN A SUPPORTING ROLE,OWA0026,Elmer Gantry,1961,1960
668,Art Direction:  Alexander Trauner;  Set Decoration:  Edward G. Boyle,ART DIRECTION (Black-and-White),OWA0034,The Apartment,1961,1960
669,"Art Direction:  Alexander Golitzen, Eric Orbom;  Set Decoration:  Russell A. Gausman, Julia Heron",ART DIRECTION (Color),OWA0035,Spartacus,1961,1960
670,Freddie Francis,CINEMATOGRAPHY (Black-and-White),OWA0031,Sons and Lovers,1961,1960
671,Russell Metty,CINEMATOGRAPHY (Color),OWA0032,Spartacus,1961,1960
672,"Edith Head, Edward Stevenson",COSTUME DESIGN (Black-and-White),OWA0047,The Facts of Life,1961,1960
673,"Valles, Bill Thomas",COSTUME DESIGN (Color),OWA0048,Spartacus,1961,1960
674,Billy Wilder,DIRECTING,OWA0012,The Apartment,1961,1960
675,"Larry Lansburgh, Producer",DOCUMENTARY (Feature),OWA0044,The Horse with the Flying Tail,1961,1960
676,"James Hill, Producer",DOCUMENTARY (Short Subject),OWA0037,Giuseppina,1961,1960
677,Daniel Mandell,FILM EDITING,OWA0020,The Apartment,1961,1960
678,Sweden,FOREIGN LANGUAGE FILM,OWA0050,The Virgin Spring,1961,1960
679,Ernest Gold,MUSIC (Music Score of a Dramatic or Comedy Picture),OWA0042,Exodus,1961,1960
680,"Morris Stoloff, Harry Sukman",MUSIC (Scoring of a Musical Picture),OWA0039,Song without End (The Story of Franz Liszt),1961,1960
681,Music and Lyrics by Manos Hadjidakis,MUSIC (Song),OWA0022,Never on Sunday,1961,1960
682,"Billy Wilder, Producer",BEST MOTION PICTURE,OWA0045,The Apartment,1961,1960
683,"William L. Snyder, Producer",SHORT SUBJECT (Cartoon),OWA0016,Munro,1961,1960
684,"Ezra R. Baker, Producer",SHORT SUBJECT (Live Action),OWA0054,Day of the Painter,1961,1960
685,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",SOUND,OWA0057,The Alamo,1961,1960
686,"Visual Effects by Gene Warren, Tim Baar",SPECIAL EFFECTS,OWA0033,The Time Machine,1961,1960
687,Richard Brooks,WRITING (Screenplay--based on material from another medium),OWA0055,Elmer Gantry,1961,1960
688,"Billy Wilder, I. A. L. Diamond",WRITING (Story and Screenplay--written directly for the screen),OWA0056,The Apartment,1961,1960
689,Maximilian Schell,ACTOR,OWA0001,Judgment at Nuremberg,1962,1961
690,George Chakiris,ACTOR IN A SUPPORTING ROLE,OWA0025,West Side Story,1962,1961
691,Sophia Loren,ACTRESS,OWA0002,Two Women,1962,1961
692,Rita Moreno,ACTRESS IN A SUPPORTING ROLE,OWA0026,West Side Story,1962,1961
693,Art Direction:  Harry Horner;  Set Decoration:  Gene Callahan,ART DIRECTION (Black-and-White),OWA0034,The Hustler,1962,1961
694,Art Direction:  Boris Leven;  Set Decoration:  Victor A. Gangelin,ART DIRECTION (Color),OWA0035,West Side Story,1962,1961
695,Eugen Shuftan,CINEMATOGRAPHY (Black-and-White),OWA0031,The Hustler,1962,1961
696,Daniel L. Fapp,CINEMATOGRAPHY (Color),OWA0032,West Side Story,1962,1961
697,Piero Gherardi,COSTUME DESIGN (Black-and-White),OWA0047,La Dolce Vita,1962,1961
698,Irene Sharaff,COSTUME DESIGN (Color),OWA0048,West Side Story,1962,1961
699,"Robert Wise, Jerome Robbins",DIRECTING,OWA0012,West Side Story,1962,1961
700,"Arthur Cohn and Rene Lafuite, Producers",DOCUMENTARY (Feature),OWA0044,Le Ciel et la Boue (Sky Above and Mud Beneath),1962,1961
701,"Frank P. Bibas, Producer",DOCUMENTARY (Short Subject),OWA0037,Project Hope,1962,1961
702,Thomas Stanford,FILM EDITING,OWA0020,West Side Story,1962,1961
703,Sweden,FOREIGN LANGUAGE FILM,OWA0050,Through a Glass Darkly,1962,1961
704,Henry Mancini,MUSIC (Music Score of a Dramatic or Comedy Picture),OWA0042,Breakfast at Tiffany's,1962,1961
705,"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",MUSIC (Scoring of a Musical Picture),OWA0039,West Side Story,1962,1961
706,Music by Henry Mancini; Lyrics by Johnny Mercer,MUSIC (Song),OWA0022,Breakfast at Tiffany's,1962,1961
707,"Robert Wise, Producer",BEST MOTION PICTURE,OWA0045,West Side Story,1962,1961
708,Zagreb Film,SHORT SUBJECT (Cartoon),OWA0016,Ersatz (The Substitute),1962,1961
709,Templar Film Studios,SHORT SUBJECT (Live Action),OWA0054,Seawards the Great Ships,1962,1961
710,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",SOUND,OWA0057,West Side Story,1962,1961
711,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham,SPECIAL EFFECTS,OWA0033,The Guns of Navarone,1962,1961
712,Abby Mann,WRITING (Screenplay--based on material from another medium),OWA0055,Judgment at Nuremberg,1962,1961
713,William Inge,WRITING (Story and Screenplay--written directly for the screen),OWA0056,Splendor in the Grass,1962,1961
714,Gregory Peck,ACTOR,OWA0001,To Kill a Mockingbird,1963,1962
715,Ed Begley,ACTOR IN A SUPPORTING ROLE,OWA0025,Sweet Bird of Youth,1963,1962
716,Anne Bancroft,ACTRESS,OWA0002,The Miracle Worker,1963,1962
717,Patty Duke,ACTRESS IN A SUPPORTING ROLE,OWA0026,The Miracle Worker,1963,1962
718,"Art Direction:  Alexander Golitzen, Henry Bumstead;  Set Decoration:  Oliver Emert",ART DIRECTION (Black-and-White),OWA0034,To Kill a Mockingbird,1963,1962
719,"Art Direction:  John Box, John Stoll;  Set Decoration:  Dario Simoni",ART DIRECTION (Color),OWA0035,Lawrence of Arabia,1963,1962
720,"Jean Bourgoin, Walter Wottitz, (Henri Persin)",CINEMATOGRAPHY (Black-and-White),OWA0031,The Longest Day,1963,1962
721,Fred A. Young,CINEMATOGRAPHY (Color),OWA0032,Lawrence of Arabia,1963,1962
722,Norma Koch,COSTUME DESIGN (Black-and-White),OWA0047,What Ever Happened to Baby Jane?,1963,1962
723,Mary Wills,COSTUME DESIGN (Color),OWA0048,The Wonderful World of the Brothers Grimm,1963,1962
724,David Lean,DIRECTING,OWA0012,Lawrence of Arabia,1963,1962
725,"Louis Clyde Stoumen, Producer",DOCUMENTARY (Feature),OWA0044,Black Fox,1963,1962
726,"Jack Howells, Producer",DOCUMENTARY (Short Subject),OWA0037,Dylan Thomas,1963,1962
727,Anne Coates,FILM EDITING,OWA0020,Lawrence of Arabia,1963,1962
728,France,FOREIGN LANGUAGE FILM,OWA0050,Sundays and Cybele,1963,1962
729,Maurice Jarre,MUSIC (Music Score--substantially original),OWA0058,Lawrence of Arabia,1963,1962
730,Ray Heindorf,MUSIC (Scoring of Music--adaptation or treatment),OWA0059,Meredith Willson's The Music Man,1963,1962
731,Music by Henry Mancini; Lyrics by Johnny Mercer,MUSIC (Song),OWA0022,Days of Wine and Roses,1963,1962
732,"Sam Spiegel, Producer",BEST PICTURE,OWA0060,Lawrence of Arabia,1963,1962
733,"John Hubley and Faith Hubley, Producers",SHORT SUBJECT (Cartoon),OWA0016,The Hole,1963,1962
734,"Pierre Etaix and J.C. Carrière, Producers",SHORT SUBJECT (Live Action),OWA0054,Heureux Anniversaire (Happy Anniversary),1963,1962
735,"Shepperton Studio Sound Department, John Cox, Sound Director",SOUND,OWA0057,Lawrence of Arabia,1963,1962
736,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont,SPECIAL EFFECTS,OWA0033,The Longest Day,1963,1962
737,Horton Foote,WRITING (Screenplay--based on material from another medium),OWA0055,To Kill a Mockingbird,1963,1962
738,"Ennio de Concini, Alfredo Giannetti, Pietro Germi",WRITING (Story and Screenplay--written directly for the screen),OWA0056,Divorce--Italian Style,1963,1962
739,Sidney Poitier,ACTOR,OWA0001,Lilies of the Field,1964,1963
740,Melvyn Douglas,ACTOR IN A SUPPORTING ROLE,OWA0025,Hud,1964,1963
741,Patricia Neal,ACTRESS,OWA0002,Hud,1964,1963
742,Margaret Rutherford,ACTRESS IN A SUPPORTING ROLE,OWA0026,The V.I.P.s,1964,1963
743,Gene Callahan,ART DIRECTION (Black-and-White),OWA0034,America America,1964,1963
744,"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer",ART DIRECTION (Color),OWA0035,Cleopatra,1964,1963
745,James Wong Howe,CINEMATOGRAPHY (Black-and-White),OWA0031,Hud,1964,1963
746,Leon Shamroy,CINEMATOGRAPHY (Color),OWA0032,Cleopatra,1964,1963
747,Piero Gherardi,COSTUME DESIGN (Black-and-White),OWA0047,Federico Fellini's 8-1/2,1964,1963
748,"Irene Sharaff, Vittorio Nino Novarese, Renie",COSTUME DESIGN (Color),OWA0048,Cleopatra,1964,1963
749,Tony Richardson,DIRECTING,OWA0012,Tom Jones,1964,1963
750,"Robert Hughes, Producer",DOCUMENTARY (Feature),OWA0044,Robert Frost: A Lover's Quarrel with the World,1964,1963
751,"Simon Schiffrin, Producer",DOCUMENTARY (Short Subject),OWA0037,Chagall,1964,1963
752,Harold F. Kress,FILM EDITING,OWA0020,How the West Was Won,1964,1963
753,Italy,FOREIGN LANGUAGE FILM,OWA0050,Federico Fellini's 8-1/2,1964,1963
754,John Addison,MUSIC (Music Score--substantially original),OWA0058,Tom Jones,1964,1963
755,Andre Previn,MUSIC (Scoring of Music--adaptation or treatment),OWA0059,Irma La Douce,1964,1963
756,Music by James Van Heusen; Lyrics by Sammy Cahn,MUSIC (Song),OWA0022,Papa's Delicate Condition,1964,1963
757,"Tony Richardson, Producer",BEST PICTURE,OWA0060,Tom Jones,1964,1963
758,"Ernest Pintoff, Producer",SHORT SUBJECT (Cartoon),OWA0016,The Critic,1964,1963
759,"Paul de Roubaix and Marcel Ichac, Producers",SHORT SUBJECT (Live Action),OWA0054,An Occurrence at Owl Creek Bridge,1964,1963
760,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",SOUND,OWA0057,How the West Was Won,1964,1963
761,Walter G. Elliott,SOUND EFFECTS,OWA0061,"It's a Mad, Mad, Mad, Mad World",1964,1963
762,"Emil Kosa, Jr.",SPECIAL EFFECTS,OWA0033,Cleopatra,1964,1963
763,John Osborne,WRITING (Screenplay--based on material from another medium),OWA0055,Tom Jones,1964,1963
764,James R. Webb,WRITING (Story and Screenplay--written directly for the screen),OWA0056,How the West Was Won,1964,1963
765,Rex Harrison,ACTOR,OWA0001,My Fair Lady,1965,1964
766,Peter Ustinov,ACTOR IN A SUPPORTING ROLE,OWA0025,Topkapi,1965,1964
767,Julie Andrews,ACTRESS,OWA0002,Mary Poppins,1965,1964
768,Lila Kedrova,ACTRESS IN A SUPPORTING ROLE,OWA0026,Zorba the Greek,1965,1964
769,Vassilis Fotopoulos,ART DIRECTION (Black-and-White),OWA0034,Zorba the Greek,1965,1964
770,"Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins",ART DIRECTION (Color),OWA0035,My Fair Lady,1965,1964
771,Walter Lassally,CINEMATOGRAPHY (Black-and-White),OWA0031,Zorba the Greek,1965,1964
772,Harry Stradling,CINEMATOGRAPHY (Color),OWA0032,My Fair Lady,1965,1964
773,Dorothy Jeakins,COSTUME DESIGN (Black-and-White),OWA0047,The Night of the Iguana,1965,1964
774,Cecil Beaton,COSTUME DESIGN (Color),OWA0048,My Fair Lady,1965,1964
775,George Cukor,DIRECTING,OWA0012,My Fair Lady,1965,1964
776,"Jacques-Yves Cousteau, Producer",DOCUMENTARY (Feature),OWA0044,Jacques-Yves Cousteau's World without Sun,1965,1964
777,"Charles Guggenheim, Producer",DOCUMENTARY (Short Subject),OWA0037,Nine from Little Rock,1965,1964
778,Cotton Warburton,FILM EDITING,OWA0020,Mary Poppins,1965,1964
779,Italy,FOREIGN LANGUAGE FILM,OWA0050,"Yesterday, Today and Tomorrow",1965,1964
780,"Richard M. Sherman, Robert B. Sherman",MUSIC (Music Score--substantially original),OWA0058,Mary Poppins,1965,1964
781,Andre Previn,MUSIC (Scoring of Music--adaptation or treatment),OWA0059,My Fair Lady,1965,1964
782,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,MUSIC (Song),OWA0022,Mary Poppins,1965,1964
783,"Jack L. Warner, Producer",BEST PICTURE,OWA0060,My Fair Lady,1965,1964
784,"David H. DePatie and Friz Freleng, Producers",SHORT SUBJECT (Cartoon),OWA0016,The Pink Phink,1965,1964
785,"Edward Schreiber, Producer",SHORT SUBJECT (Live Action),OWA0054,Casals Conducts: 1964,1965,1964
786,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",SOUND,OWA0057,My Fair Lady,1965,1964
787,Norman Wanstall,SOUND EFFECTS,OWA0061,Goldfinger,1965,1964
788,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske",SPECIAL VISUAL EFFECTS,OWA0062,Mary Poppins,1965,1964
789,Edward Anhalt,WRITING (Screenplay--based on material from another medium),OWA0055,Becket,1965,1964
790,"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff",WRITING (Story and Screenplay--written directly for the screen),OWA0056,Father Goose,1965,1964
791,Lee Marvin,ACTOR,OWA0001,Cat Ballou,1966,1965
792,Martin Balsam,ACTOR IN A SUPPORTING ROLE,OWA0025,A Thousand Clowns,1966,1965
793,Julie Christie,ACTRESS,OWA0002,Darling,1966,1965
794,Shelley Winters,ACTRESS IN A SUPPORTING ROLE,OWA0026,A Patch of Blue,1966,1965
795,Art Direction:  Robert Clatworthy;  Set Decoration:  Joseph Kish,ART DIRECTION (Black-and-White),OWA0034,Ship of Fools,1966,1965
796,"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni",ART DIRECTION (Color),OWA0035,Doctor Zhivago,1966,1965
797,Ernest Laszlo,CINEMATOGRAPHY (Black-and-White),OWA0031,Ship of Fools,1966,1965
798,Freddie Young,CINEMATOGRAPHY (Color),OWA0032,Doctor Zhivago,1966,1965
799,Julie Harris,COSTUME DESIGN (Black-and-White),OWA0047,Darling,1966,1965
800,Phyllis Dalton,COSTUME DESIGN (Color),OWA0048,Doctor Zhivago,1966,1965
801,Robert Wise,DIRECTING,OWA0012,The Sound of Music,1966,1965
802,"Sidney Glazier, Producer",DOCUMENTARY (Feature),OWA0044,The Eleanor Roosevelt Story,1966,1965
803,"Francis Thompson, Producer",DOCUMENTARY (Short Subject),OWA0037,To Be Alive!,1966,1965
804,William Reynolds,FILM EDITING,OWA0020,The Sound of Music,1966,1965
805,Czechoslovakia,FOREIGN LANGUAGE FILM,OWA0050,The Shop on Main Street,1966,1965
806,Maurice Jarre,MUSIC (Music Score--substantially original),OWA0058,Doctor Zhivago,1966,1965
807,Irwin Kostal,MUSIC (Scoring of Music--adaptation or treatment),OWA0059,The Sound of Music,1966,1965
808,Music by Johnny Mandel; Lyrics by Paul Francis Webster,MUSIC (Song),OWA0022,The Sandpiper,1966,1965
809,"Robert Wise, Producer",BEST PICTURE,OWA0060,The Sound of Music,1966,1965
810,"Chuck Jones and Les Goldman, Producers",SHORT SUBJECT (Cartoon),OWA0016,The Dot and the Line,1966,1965
811,"Claude Berri, Producer",SHORT SUBJECT (Live Action),OWA0054,The Chicken (Le Poulet),1966,1965
812,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",SOUND,OWA0057,The Sound of Music,1966,1965
813,Tregoweth Brown,SOUND EFFECTS,OWA0061,The Great Race,1966,1965
814,John Stears,SPECIAL VISUAL EFFECTS,OWA0062,Thunderball,1966,1965
815,Robert Bolt,WRITING (Screenplay--based on material from another medium),OWA0055,Doctor Zhivago,1966,1965
816,Frederic Raphael,WRITING (Story and Screenplay--written directly for the screen),OWA0056,Darling,1966,1965
817,Paul Scofield,ACTOR,OWA0001,A Man for All Seasons,1967,1966
818,Walter Matthau,ACTOR IN A SUPPORTING ROLE,OWA0025,The Fortune Cookie,1967,1966
819,Elizabeth Taylor,ACTRESS,OWA0002,Who's Afraid of Virginia Woolf?,1967,1966
820,Sandy Dennis,ACTRESS IN A SUPPORTING ROLE,OWA0026,Who's Afraid of Virginia Woolf?,1967,1966
821,Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins,ART DIRECTION (Black-and-White),OWA0034,Who's Afraid of Virginia Woolf?,1967,1966
822,"Art Direction:  Jack Martin Smith, Dale Hennesy;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",ART DIRECTION (Color),OWA0035,Fantastic Voyage,1967,1966
823,Haskell Wexler,CINEMATOGRAPHY (Black-and-White),OWA0031,Who's Afraid of Virginia Woolf?,1967,1966
824,Ted Moore,CINEMATOGRAPHY (Color),OWA0032,A Man for All Seasons,1967,1966
