Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Movie_ID,Director_ID,Oscar_Award_ID,GG_Award_ID
Call Me by Your Name,7.8,303000,94,R,2017,2h 12m,263,227,OWA0099,
Bones and All,6.8,53000,74,R,2022,2h 11m,642,227,,
Suspiria,6.7,89000,64,R,2018,2h 32m,954,227,,
Get Out,7.8,674000,85,R,2017,1h 44m,264,228,OWA0036,
Nope,6.8,252000,77,R,2022,2h 10m,452,228,,
Us,6.8,332000,81,R,2019,1h 56m,713,228,,
Some Like It Hot,8.2,279000,98,Passed,1959,2h 1m,265,229,OWA0047,GG026
Some Like It Hot,8.2,279000,98,Passed,1959,2h 1m,265,229,OWA0047,GG023
Witness for the Prosecution,8.4,134000,76,Approved,1957,1h 56m,1668,229,,GG009
The Apartment,8.3,192000,94,Approved,1960,2h 5m,1707,229,OWA0034,GG026
The Apartment,8.3,192000,94,Approved,1960,2h 5m,1707,229,OWA0012,GG026
The Apartment,8.3,192000,94,Approved,1960,2h 5m,1707,229,OWA0020,GG026
The Apartment,8.3,192000,94,Approved,1960,2h 5m,1707,229,OWA0045,GG026
The Apartment,8.3,192000,94,Approved,1960,2h 5m,1707,229,OWA0056,GG026
Meg 2: The Trench,5.0,67000,40,PG-13,2023,1h 56m,266,230,,
Love Hard,6.3,60000,42,TV-MA,2021,1h 44m,267,231,,
Eternal Sunshine of the Spotless Mind,8.3,1100000,89,R,2004,1h 48m,268,232,OWA0036,
We're the Millers,7.0,478000,44,R,2013,1h 50m,270,233,,
Dodgeball: A True Underdog Story,6.7,263000,55,PG-13,2004,1h 32m,1018,233,,
Red Notice,6.3,308000,37,PG-13,2021,1h 58m,1124,233,,
Green Book,8.2,546000,69,PG-13,2018,2h 10m,272,236,OWA0025,GG004
Green Book,8.2,546000,69,PG-13,2018,2h 10m,272,236,OWA0025,GG012
Green Book,8.2,546000,69,PG-13,2018,2h 10m,272,236,OWA0060,GG004
Green Book,8.2,546000,69,PG-13,2018,2h 10m,272,236,OWA0060,GG012
Green Book,8.2,546000,69,PG-13,2018,2h 10m,272,236,OWA0036,GG004
Green Book,8.2,546000,69,PG-13,2018,2h 10m,272,236,OWA0036,GG012
The Greatest Beer Run Ever,6.8,25000,39,R,2022,2h 6m,767,236,,
Top Gun,6.9,490000,50,PG,1986,1h 49m,274,239,OWA0078,GG014
True Romance,7.9,239000,59,R,1993,1h 59m,504,239,,
Man on Fire,7.7,383000,47,R,2004,2h 26m,745,239,,
Beverly Hills Cop II,6.5,127000,48,R,1987,1h 40m,827,239,,
Spy Game,7.1,165000,63,R,2001,2h 6m,1564,239,,
12 Angry Men,9.0,845000,97,Approved,1957,1h 36m,276,240,,
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0080,GG003
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0080,GG012
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0080,GG011
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0080,GG002
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0081,GG003
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0081,GG012
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0081,GG011
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0081,GG002
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0026,GG003
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0026,GG012
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0026,GG011
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0026,GG002
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0083,GG003
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0083,GG012
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0083,GG011
Network,8.1,167000,83,R,1976,2h 1m,408,240,OWA0083,GG002
Dog Day Afternoon,8.0,270000,86,R,1975,2h 5m,1402,240,OWA0036,
Serpico,7.7,132000,83,R,1973,2h 10m,1730,240,,
Burlesque,6.4,92000,47,PG-13,2010,1h 59m,277,241,,GG014
BlackBerry,7.4,30000,78,R,2023,2h,278,242,,
Casino Royale,8.0,685000,80,PG-13,2006,2h 24m,279,243,,
Green Lantern,5.5,294000,39,PG-13,2011,1h 54m,344,243,,
GoldenEye,7.2,267000,65,PG-13,1995,2h 10m,513,243,,
Star Wars: Episode IV - A New Hope,8.6,1400000,90,PG,1977,2h 1m,280,244,,
Star Wars: Episode I - The Phantom Menace,6.5,843000,51,PG,1999,2h 16m,496,244,,
Star Wars: Episode III - Revenge of the Sith,7.6,832000,68,PG-13,2005,2h 20m,835,244,,
Star Wars: Episode II - Attack of the Clones,6.6,746000,54,PG,2002,2h 22m,1189,244,,
American Graffiti,7.4,97000,97,PG,1973,1h 50m,1353,244,,GG004
American Graffiti,7.4,97000,97,PG,1973,1h 50m,1353,244,,GG017
Silent Hill,6.5,241000,31,R,2006,2h 5m,282,245,,
Fiddler on the Roof,8.0,47000,67,G,1971,3h 1m,284,246,OWA0004,GG006
Fiddler on the Roof,8.0,47000,67,G,1971,3h 1m,284,246,OWA0071,GG006
Fiddler on the Roof,8.0,47000,67,G,1971,3h 1m,284,246,OWA0057,GG006
Moonstruck,7.1,66000,83,PG,1987,1h 42m,1447,246,OWA0081,GG009
Moonstruck,7.1,66000,83,PG,1987,1h 42m,1447,246,OWA0026,GG009
Moonstruck,7.1,66000,83,PG,1987,1h 42m,1447,246,OWA0088,GG009
Glass Onion,7.1,420000,81,PG-13,2022,2h 19m,285,247,,
Knives Out,7.9,751000,82,PG-13,2019,2h 10m,310,247,,
Looper,7.4,596000,84,R,2012,1h 59m,738,247,,
Star Wars: Episode VIII - The Last Jedi,6.9,662000,84,PG-13,2017,2h 32m,889,247,,
Memory,7.1,438,72,R,2023,1h 40m,286,248,,
The Many Saints of Newark,6.3,61000,60,R,2021,2h,287,249,,
Terminator Genisys,6.3,290000,38,PG-13,2015,2h 6m,1513,249,,
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1200000,63,PG-13,2003,2h 23m,288,250,,
Pirates of the Caribbean: Dead Man's Chest,7.4,755000,53,PG-13,2006,2h 31m,854,250,OWA0084,
Pirates of the Caribbean: At World's End,7.1,682000,50,PG-13,2007,2h 49m,1201,250,,
The Ring,7.1,370000,57,PG-13,2002,1h 55m,1408,250,,
The Longest Ride,7.0,88000,33,PG-13,2015,2h 3m,289,251,,
Big George Foreman,6.6,7200,45,PG-13,2023,2h 9m,1639,251,,
A Man Called Otto,7.5,144000,51,PG-13,2022,2h 6m,290,252,,
World War Z,7.0,706000,63,PG-13,2013,1h 56m,709,252,,
Quantum of Solace,6.6,466000,58,PG-13,2008,1h 46m,1060,252,,
No One Will Save You,6.3,56000,60,PG-13,2023,1h 33m,292,253,,
The Deer Hunter,8.1,356000,86,R,1978,3h 3m,294,256,OWA0025,GG011
The Deer Hunter,8.1,356000,86,R,1978,3h 3m,294,256,OWA0012,GG011
The Deer Hunter,8.1,356000,86,R,1978,3h 3m,294,256,OWA0020,GG011
The Deer Hunter,8.1,356000,86,R,1978,3h 3m,294,256,OWA0060,GG011
The Deer Hunter,8.1,356000,86,R,1978,3h 3m,294,256,OWA0057,GG011
"Are You There God? It's Me, Margaret.",7.3,20000,84,PG-13,2023,1h 46m,295,257,,
The Help,8.1,484000,62,PG-13,2011,2h 26m,296,258,OWA0026,GG009
Ma,5.6,59000,53,R,2019,1h 39m,1363,258,,
The Girl on the Train,6.5,197000,48,R,2016,1h 52m,1454,258,,
The Truman Show,8.2,1200000,90,PG,1998,1h 43m,299,259,,GG003
The Truman Show,8.2,1200000,90,PG,1998,1h 43m,299,259,,GG013
The Truman Show,8.2,1200000,90,PG,1998,1h 43m,299,259,,GG010
Dead Poets Society,8.1,531000,79,PG,1989,2h 8m,386,259,OWA0088,
Master and Commander: The Far Side of the World,7.5,234000,81,PG-13,2003,2h 18m,1090,259,OWA0004,
Master and Commander: The Far Side of the World,7.5,234000,81,PG-13,2003,2h 18m,1090,259,OWA0097,
Witness,7.4,103000,76,R,1985,1h 52m,1425,259,OWA0020,
Witness,7.4,103000,76,R,1985,1h 52m,1425,259,OWA0088,
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0012,GG004
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0012,GG023
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0020,GG004
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0020,GG023
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0059,GG004
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0059,GG023
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0060,GG004
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0060,GG023
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0057,GG004
The Sound of Music,8.1,253000,63,G,1965,2h 52m,300,260,OWA0057,GG023
Fast Times at Ridgemont High,7.1,114000,61,R,1982,1h 30m,303,261,,
Clueless,6.9,239000,71,PG-13,1995,1h 37m,754,261,,
National Lampoon's European Vacation,6.2,71000,47,PG-13,1985,1h 35m,891,261,,
Evil Dead Rise,6.5,127000,69,R,2023,1h 36m,304,262,,
Her,8.0,656000,91,R,2013,2h 6m,306,263,OWA0036,
Next Goal Wins,6.5,3300,44,PG-13,2023,1h 44m,311,264,,
Thor: Love and Thunder,6.2,387000,57,PG-13,2022,1h 58m,392,264,,
Jojo Rabbit,7.9,429000,58,PG-13,2019,1h 48m,484,264,OWA0099,
Thor: Ragnarok,7.9,802000,74,PG-13,2017,2h 10m,831,264,,
The Last Voyage of the Demeter,6.1,39000,52,R,2023,1h 58m,312,265,,
The Autopsy of Jane Doe,6.8,134000,65,R,2016,1h 26m,505,265,,
Air,7.4,153000,73,R,2023,1h 51m,313,266,,
The Town,7.5,410000,74,R,2010,2h 5m,910,266,,
Argo,7.7,633000,86,R,2012,2h,1225,266,OWA0020,GG011
Argo,7.7,633000,86,R,2012,2h,1225,266,OWA0020,GG001
Argo,7.7,633000,86,R,2012,2h,1225,266,OWA0060,GG011
Argo,7.7,633000,86,R,2012,2h,1225,266,OWA0060,GG001
Argo,7.7,633000,86,R,2012,2h,1225,266,OWA0099,GG011
Argo,7.7,633000,86,R,2012,2h,1225,266,OWA0099,GG001
Gone Baby Gone,7.6,285000,72,R,2007,1h 54m,1374,266,,
She's the Man,6.4,172000,45,PG-13,2006,1h 45m,314,267,,
Better Watch Out,6.5,44000,67,R,2016,1h 29m,315,268,,
The Fast and the Furious,6.8,412000,58,PG-13,2001,1h 46m,316,269,,
Tropic Thunder,7.1,441000,71,R,2008,1h 47m,317,270,,
The Secret Life of Walter Mitty,7.3,334000,54,PG,2013,1h 54m,320,270,,
Zoolander,6.5,287000,61,PG-13,2001,1h 30m,1405,270,,
Nobody,7.4,312000,64,R,2021,1h 32m,318,271,,
Christmas in Connecticut,7.3,11000,64,Approved,1945,1h 41m,321,272,,
Aftersun,7.7,81000,95,R,2022,1h 42m,325,273,,
Mob Land,5.2,1900,47,R,2023,1h 51m,326,274,,
Totally Killer,6.5,42000,62,R,2023,1h 46m,328,275,,
Strays,6.3,22000,54,R,2023,1h 33m,330,276,,
The Burial,7.1,26000,74,R,2023,2h 6m,331,278,,
Pretty Woman,7.1,348000,51,R,1990,1h 59m,332,279,,GG005
Valentine's Day,5.7,124000,34,PG-13,2010,2h 5m,1120,279,,
Overboard,6.9,66000,53,PG,1987,1h 52m,1314,279,,
The Princess Diaries,6.4,160000,52,G,2001,1h 55m,1377,279,,
Renfield,6.4,84000,53,R,2023,1h 33m,333,280,,
The Tomorrow War,6.6,223000,45,PG-13,2021,2h 18m,732,280,,
Happiest Season,6.6,46000,69,PG-13,2020,1h 42m,334,281,,
Ghosted,5.8,57000,34,PG-13,2023,1h 56m,335,282,,
Rocketman,7.3,190000,69,R,2019,2h 1m,1378,282,OWA0078,GG006
Rocketman,7.3,190000,69,R,2019,2h 1m,1378,282,OWA0078,GG014
Mulholland Drive,7.9,377000,86,R,2001,2h 27m,336,277,,
Blue Velvet,7.7,212000,75,R,1986,2h,962,277,,
Wild at Heart,7.2,99000,52,R,1990,2h 5m,1606,277,,
The Elephant Man,8.2,254000,78,PG,1980,2h 4m,1703,277,,
Drive,7.8,691000,79,R,2011,1h 40m,337,283,,
The Neon Demon,6.1,102000,51,R,2016,1h 57m,1427,283,,
The Man Who Invented Christmas,7.0,18000,60,PG,2017,1h 44m,338,284,,
Sisu,6.9,64000,70,R,2022,1h 31m,340,285,,
Superbad,7.6,620000,76,R,2007,1h 53m,341,286,,
"Confess, Fletch",6.5,17000,64,R,2022,1h 38m,917,286,,
Ghostbusters,7.8,438000,71,PG,1984,1h 45m,342,287,,
Ghostbusters II,6.6,219000,56,PG,1989,1h 48m,1364,287,,
Draft Day,6.8,65000,54,PG-13,2014,1h 50m,1731,287,,
"Planes, Trains & Automobiles",7.6,157000,72,R,1987,1h 33m,343,288,,
Uncle Buck,7.1,106000,51,PG,1989,1h 40m,476,288,,
The Breakfast Club,7.8,428000,66,R,1985,1h 37m,563,288,,
Ferris Bueller's Day Off,7.8,380000,61,PG-13,1986,1h 43m,662,288,,
Sixteen Candles,7.0,124000,61,PG,1984,1h 33m,792,288,,
Weird Science,6.6,96000,46,PG-13,1985,1h 34m,1035,288,,
Good Burger 2,5.4,2400,48,TV-PG,2023,1h 30m,348,289,,
Where the Crawdads Sing,7.2,112000,43,PG-13,2022,2h 5m,349,290,,
8-Bit Christmas,6.7,21000,66,PG,2021,1h 37m,353,291,,
Black Adam,6.2,265000,41,PG-13,2022,2h 5m,354,292,,
The Commuter,6.3,123000,56,PG-13,2018,1h 44m,743,292,,
Orphan,7.0,247000,42,R,2009,2h 3m,1303,292,,
Jungle Cruise,6.6,208000,50,PG-13,2021,2h 7m,1626,292,,
Mr. & Mrs. Smith,6.5,528000,55,PG-13,2005,2h,355,293,,
Edge of Tomorrow,7.9,722000,71,PG-13,2014,1h 53m,552,293,,
The Bourne Identity,7.8,569000,68,PG-13,2002,1h 59m,1082,293,,
American Made,7.1,203000,65,R,2017,1h 55m,1753,293,,
Gerald's Game,6.5,124000,77,TV-MA,2017,1h 43m,358,294,,
Doctor Sleep,7.3,214000,59,R,2019,2h 32m,676,294,,
Paper Moon,8.1,51000,77,PG,1973,1h 42m,360,297,OWA0026,GG016
"What's Up, Doc?",7.7,26000,73,G,1972,1h 34m,663,297,,
Mask,7.2,32000,73,PG-13,1985,2h,926,297,OWA0092,
The Nun II,5.6,51000,47,R,2023,1h 50m,361,298,,
Cobweb,6.0,25000,50,R,2023,1h 28m,362,299,,
Boyz n the Hood,7.8,151000,76,R,1991,1h 52m,363,300,,
2 Fast 2 Furious,5.9,292000,38,PG-13,2003,1h 47m,817,300,,
The Dreamers,7.1,129000,63,NC-17,2003,1h 55m,364,301,,
Last Tango in Paris,6.9,57000,77,NC-17,1972,2h 9m,1173,301,,
The Bikeriders,7.6,974,71,R,2023,1h 56m,365,302,,
Mud,7.4,187000,76,PG-13,2012,2h 10m,958,302,,
Deadpool,8.0,1100000,65,R,2016,1h 48m,366,303,,
Terminator: Dark Fate,6.2,190000,54,R,2019,2h 8m,830,303,,
Hidden Figures,7.8,249000,74,PG,2016,2h 7m,372,306,,
Point Break,7.3,197000,59,R,1991,2h 2m,373,307,,
Zero Dark Thirty,7.4,315000,95,R,2012,2h 37m,1065,307,OWA0097,GG002
The Hurt Locker,7.5,469000,95,R,2008,2h 11m,1342,307,OWA0012,
The Hurt Locker,7.5,469000,95,R,2008,2h 11m,1342,307,OWA0020,
The Hurt Locker,7.5,469000,95,R,2008,2h 11m,1342,307,OWA0060,
The Hurt Locker,7.5,469000,95,R,2008,2h 11m,1342,307,OWA0097,
The Hurt Locker,7.5,469000,95,R,2008,2h 11m,1342,307,OWA0100,
The Hurt Locker,7.5,469000,95,R,2008,2h 11m,1342,307,OWA0036,
Barbarian,7.0,169000,78,R,2022,1h 42m,375,308,,
Meet Me in St. Louis,7.5,27000,94,Passed,1944,1h 53m,378,309,,
Birds of Prey,6.1,260000,60,R,2020,1h 49m,379,310,,
The Great Gatsby,7.2,584000,55,PG-13,2013,2h 23m,381,313,OWA0053,GG009
The Great Gatsby,7.2,584000,55,PG-13,2013,2h 23m,381,313,OWA0074,GG009
The Great Gatsby,7.2,584000,55,PG-13,2013,2h 23m,381,313,OWA0102,GG009
Elvis,7.3,221000,64,PG-13,2022,2h 39m,433,313,,GG003
Australia,6.6,129000,53,PG-13,2008,2h 45m,679,313,,
Romeo + Juliet,6.7,241000,60,PG-13,1996,2h,693,313,,
Moulin Rouge!,7.6,296000,66,PG-13,2001,2h 7m,979,313,,GG004
Moulin Rouge!,7.6,296000,66,PG-13,2001,2h 7m,979,313,,GG013
Moulin Rouge!,7.6,296000,66,PG-13,2001,2h 7m,979,313,,GG005
Moulin Rouge!,7.6,296000,66,PG-13,2001,2h 7m,979,313,,GG016
Old,5.8,154000,55,PG-13,2021,1h 48m,382,314,,
Knock at the Cabin,6.1,107000,63,R,2023,1h 40m,429,314,,
The Sixth Sense,8.2,1000000,64,PG-13,1999,1h 47m,596,314,,
Split,7.3,537000,63,PG-13,2016,1h 57m,683,314,,
The Village,6.6,274000,44,PG-13,2004,1h 48m,1126,314,,
Glass,6.6,262000,43,PG-13,2019,2h 9m,1340,314,OWA0037,
The Visit,6.2,147000,55,PG-13,2015,1h 34m,1465,314,,
Signs,6.8,381000,59,PG-13,2002,1h 46m,1527,314,,
The Usual Suspects,8.5,1100000,76,R,1995,1h 46m,383,315,OWA0025,
The Usual Suspects,8.5,1100000,76,R,1995,1h 46m,383,315,OWA0088,
Bohemian Rhapsody,7.9,576000,49,PG-13,2018,2h 14m,733,315,OWA0080,GG001
Bohemian Rhapsody,7.9,576000,49,PG-13,2018,2h 14m,733,315,OWA0020,GG001
Bohemian Rhapsody,7.9,576000,49,PG-13,2018,2h 14m,733,315,OWA0097,GG001
Bohemian Rhapsody,7.9,576000,49,PG-13,2018,2h 14m,733,315,OWA0100,GG001
X-Men,7.3,638000,64,PG-13,2000,1h 44m,775,315,,
X-Men: Apocalypse,6.9,455000,52,PG-13,2016,2h 24m,1081,315,,
X-Men: Days of Future Past,7.9,737000,75,PG-13,2014,2h 12m,1171,315,,
Me Before You,7.4,279000,51,PG-13,2016,1h 50m,384,316,,
Free Guy,7.1,410000,62,PG-13,2021,1h 55m,385,317,,
Night at the Museum,6.5,371000,48,PG,2006,1h 48m,771,317,,
The Adam Project,6.7,224000,55,PG-13,2022,1h 46m,1107,317,,
This Is Where I Leave You,6.6,88000,44,R,2014,1h 43m,1466,317,,
Real Steel,7.1,350000,56,PG-13,2011,2h 7m,1496,317,,
Night at the Museum: Battle of the Smithsonian,6.0,209000,42,PG,2009,1h 45m,1680,317,,
Kong: Skull Island,6.7,340000,62,PG-13,2017,1h 58m,389,318,,
Dazed and Confused,7.6,196000,82,R,1993,1h 43m,393,319,,
Before Sunrise,8.1,332000,77,R,1995,1h 41m,770,319,,
School of Rock,7.2,324000,82,PG-13,2003,1h 49m,876,319,,
Hit Man,7.8,721,82,R,2023,1h 53m,1013,319,,
Unfaithful,6.7,96000,63,R,2002,2h 4m,395,320,,
Lolita,6.8,65000,46,R,1997,2h 17m,401,320,,GG016
Deep Water,5.5,55000,53,R,2022,1h 55m,605,320,,
9Â½ Weeks,5.9,43000,50,R,1986,1h 57m,1325,320,,
Fatal Attraction,6.9,95000,67,R,1987,1h 59m,1573,320,,
Smile,6.5,148000,68,R,2022,1h 55m,399,321,,
Home Sweet Home Alone,3.6,20000,35,PG,2021,1h 33m,400,322,,
Rustin,6.5,3300,68,PG-13,2023,1h 46m,402,323,,
Kandahar,6.1,28000,52,R,2023,1h 59m,404,326,,
Greenland,6.4,129000,64,PG-13,2020,1h 59m,1737,326,,
The Exorcist,8.1,447000,82,R,1973,2h 2m,407,329,OWA0057,GG001
The Exorcist,8.1,447000,82,R,1973,2h 2m,407,329,OWA0057,GG009
The Exorcist,8.1,447000,82,R,1973,2h 2m,407,329,OWA0055,GG001
The Exorcist,8.1,447000,82,R,1973,2h 2m,407,329,OWA0055,GG009
Amsterdam,6.1,87000,48,R,2022,2h 14m,411,330,,
American Hustle,7.2,496000,90,R,2013,2h 18m,586,330,,GG009
American Hustle,7.2,496000,90,R,2013,2h 18m,586,330,,GG004
Silver Linings Playbook,7.7,734000,81,R,2012,2h 2m,598,330,OWA0081,GG005
Joy,6.6,143000,56,PG-13,2015,2h 4m,1524,330,,
The Fighter,7.8,384000,79,R,2010,1h 56m,1713,330,OWA0025,GG009
The Fighter,7.8,384000,79,R,2010,1h 56m,1713,330,OWA0025,GG010
The Fighter,7.8,384000,79,R,2010,1h 56m,1713,330,OWA0026,GG009
The Fighter,7.8,384000,79,R,2010,1h 56m,1713,330,OWA0026,GG010
Excalibur,7.3,66000,56,PG,1981,2h 20m,412,331,,
Deliverance,7.7,118000,80,R,1972,1h 49m,1348,331,,
The Place Beyond the Pines,7.3,286000,68,R,2012,2h 20m,415,332,,
Blue Valentine,7.3,208000,81,R,2010,1h 52m,1030,332,,
Secretary,6.9,97000,63,R,2002,1h 47m,416,333,,
The Thing,8.2,456000,57,R,1982,1h 49m,417,334,,
Christine,6.8,91000,57,R,1983,1h 50m,1094,334,,
They Live,7.2,142000,55,R,1988,1h 34m,1152,334,,
Big Trouble in Little China,7.2,151000,53,PG-13,1986,1h 39m,1291,334,,
Escape from New York,7.1,154000,76,R,1981,1h 39m,1312,334,,
Halloween,7.7,302000,87,R,1978,1h 31m,1562,334,,
RoboCop,7.6,277000,70,R,1987,1h 42m,418,335,OWA0085,
Basic Instinct,7.0,215000,43,R,1992,2h 7m,431,335,,
Total Recall,7.5,349000,60,R,1990,1h 53m,699,335,OWA0073,
Showgirls,5.0,73000,20,NC-17,1995,2h 8m,740,335,,
Starship Troopers,7.3,313000,52,R,1997,2h 9m,764,335,,
Hollow Man,5.8,137000,24,R,2000,1h 52m,1720,335,,
Spider-Man,7.4,863000,73,PG-13,2002,2h 1m,419,336,,
Doctor Strange in the Multiverse of Madness,6.9,463000,60,PG-13,2022,2h 6m,562,336,,
Spider-Man 2,7.5,694000,83,PG-13,2004,2h 7m,995,336,OWA0084,
Spider-Man 3,6.3,626000,59,PG-13,2007,2h 19m,1191,336,,
The Evil Dead,7.4,229000,71,NC-17,1981,1h 25m,1662,336,,
Drag Me to Hell,6.6,215000,83,PG-13,2009,1h 39m,1747,336,,
The Greatest Showman,7.5,303000,48,PG,2017,1h 45m,421,337,,
The Talented Mr. Ripley,7.4,228000,76,R,1999,2h 19m,424,340,,
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0026,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0003,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0004,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0053,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0012,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0020,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0070,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0060,GG013
The English Patient,7.4,198000,87,R,1996,2h 42m,1033,340,OWA0057,GG013
Cold Mountain,7.2,154000,73,R,2003,2h 34m,1718,340,OWA0026,GG009
While You Were Sleeping,6.8,111000,67,PG,1995,1h 43m,426,341,,
The Meg,5.6,203000,46,PG-13,2018,1h 53m,576,341,,
The Fast and the Furious: Tokyo Drift,6.0,293000,45,PG-13,2006,1h 44m,428,113,,
F9: The Fast Saga,5.2,158000,58,PG-13,2021,2h 23m,599,113,,
Fast & Furious,6.5,306000,46,PG-13,2009,1h 47m,647,113,,
Fast Five,7.3,402000,66,PG-13,2011,2h 10m,1003,113,,
Fast & Furious 6,7.0,412000,61,PG-13,2013,2h 10m,1290,113,,
Star Trek Beyond,7.0,256000,68,PG-13,2016,2h 2m,1660,113,,
Braveheart,8.3,1100000,68,R,1995,2h 58m,430,342,OWA0004,
Braveheart,8.3,1100000,68,R,1995,2h 58m,430,342,OWA0012,
Braveheart,8.3,1100000,68,R,1995,2h 58m,430,342,OWA0092,
Braveheart,8.3,1100000,68,R,1995,2h 58m,430,342,OWA0060,
Braveheart,8.3,1100000,68,R,1995,2h 58m,430,342,OWA0093,
Hacksaw Ridge,8.1,577000,71,R,2016,2h 19m,470,342,OWA0020,
Hacksaw Ridge,8.1,577000,71,R,2016,2h 19m,470,342,OWA0100,
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0080,GG011
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0080,GG001
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0080,GG003
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0004,GG011
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0004,GG001
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0004,GG003
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0012,GG011
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0012,GG001
The Revenant,8.0,855000,76,R,2015,2h 36m,437,343,OWA0012,GG003
Birdman or (The Unexpected Virtue of Ignorance),7.7,657000,87,R,2014,1h 59m,925,343,OWA0004,
Birdman or (The Unexpected Virtue of Ignorance),7.7,657000,87,R,2014,1h 59m,925,343,OWA0012,
Birdman or (The Unexpected Virtue of Ignorance),7.7,657000,87,R,2014,1h 59m,925,343,OWA0060,
Birdman or (The Unexpected Virtue of Ignorance),7.7,657000,87,R,2014,1h 59m,925,343,OWA0036,
Pale Rider,7.3,64000,61,R,1985,1h 55m,438,344,,
The Outlaw Josey Wales,7.8,79000,69,PG,1976,2h 15m,506,344,,
Unforgiven,8.2,430000,85,R,1992,2h 10m,752,344,OWA0025,GG010
Unforgiven,8.2,430000,85,R,1992,2h 10m,752,344,OWA0012,GG010
Unforgiven,8.2,430000,85,R,1992,2h 10m,752,344,OWA0020,GG010
Unforgiven,8.2,430000,85,R,1992,2h 10m,752,344,OWA0060,GG010
Mystic River,7.9,477000,84,R,2003,2h 18m,788,344,OWA0080,GG010
Mystic River,7.9,477000,84,R,2003,2h 18m,788,344,OWA0025,GG010
Gran Torino,8.1,805000,72,R,2008,1h 56m,855,344,,
American Sniper,7.3,520000,72,R,2014,2h 13m,974,344,OWA0097,
High Plains Drifter,7.4,63000,69,R,1973,1h 45m,1193,344,,
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0025,GG002
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0025,GG011
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0081,GG002
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0081,GG011
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0012,GG002
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0012,GG011
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0060,GG002
Million Dollar Baby,8.1,713000,86,PG-13,2004,2h 12m,1409,344,OWA0060,GG011
The Matrix Resurrections,5.7,273000,63,R,2021,2h 28m,441,194,,
The Maze Runner,6.8,498000,57,PG-13,2014,1h 53m,443,347,,
Maze Runner: The Scorch Trials,6.3,270000,43,PG-13,2015,2h 11m,783,347,,
