Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Movie_ID,Director_ID,Oscar_Award_ID,GG_Award_ID
The Dark Knight,9.0,2800000,84,PG-13,2008,2h 32m,99,8,OWA0097,GG010
Inception,8.8,2500000,74,PG-13,2010,2h 28m,125,8,OWA0004,
Inception,8.8,2500000,74,PG-13,2010,2h 28m,125,8,OWA0097,
Inception,8.8,2500000,74,PG-13,2010,2h 28m,125,8,OWA0100,
Inception,8.8,2500000,74,PG-13,2010,2h 28m,125,8,OWA0084,
The Prestige,8.5,1400000,66,PG-13,2006,2h 10m,245,8,,
The Dark Knight Rises,8.4,1800000,78,PG-13,2012,2h 44m,261,8,,
Tenet,7.3,572000,69,PG-13,2020,2h 30m,275,8,OWA0084,
Memento,8.4,1300000,83,R,2000,1h 53m,356,8,,
Batman Begins,8.2,1500000,70,PG-13,2005,2h 20m,447,8,,
Dunkirk,7.8,721000,94,PG-13,2017,1h 46m,465,8,OWA0020,
Dunkirk,7.8,721000,94,PG-13,2017,1h 46m,465,8,OWA0097,
Dunkirk,7.8,721000,94,PG-13,2017,1h 46m,465,8,OWA0100,
Insomnia,7.2,313000,78,R,2002,1h 58m,1506,8,,
Love Actually,7.6,517000,55,R,2003,2h 15m,9,9,,
About Time,7.8,377000,55,R,2013,2h 3m,436,9,,
Candy Cane Lane,5.6,13000,47,PG,2023,1h 57m,10,10,,
Saltburn,7.5,13000,61,R,2023,2h 11m,11,11,,
Promising Young Woman,7.5,201000,72,R,2020,1h 53m,193,11,OWA0036,
Barbie,7.0,417000,80,PG-13,2023,1h 54m,12,12,,
Little Women,7.8,234000,91,PG,2019,2h 15m,180,12,OWA0010,
Little Women,7.8,234000,91,PG,2019,2h 15m,180,12,OWA0035,
Little Women,7.8,234000,91,PG,2019,2h 15m,180,12,OWA0053,
Lady Bird,7.4,318000,93,R,2017,1h 34m,406,12,,GG004
Lady Bird,7.4,318000,93,R,2017,1h 34m,406,12,,GG005
National Lampoon's Christmas Vacation,7.5,213000,49,PG-13,1989,1h 37m,13,13,,
Rebel Moon - Part One: A Child of Fire,6.3,1900,32,PG-13,2023,2h 13m,14,14,,
Watchmen,7.6,574000,56,R,2009,2h 42m,217,14,,
Man of Steel,7.1,802000,55,PG-13,2013,2h 23m,255,14,,
300,7.6,853000,52,R,2006,1h 57m,269,14,,
Batman v Superman: Dawn of Justice,6.5,744000,44,PG-13,2016,2h 31m,481,14,,
Zack Snyder's Justice League,7.9,429000,54,R,2021,4h 2m,539,14,,
Army of the Dead,5.8,183000,57,R,2021,2h 28m,610,14,,
Sucker Punch,6.0,250000,33,PG-13,2011,1h 50m,856,14,,
Justice League,6.1,473000,45,PG-13,2017,2h,953,14,,
Dawn of the Dead,7.3,268000,59,R,2004,1h 41m,1092,14,,
The Family Plan,6.3,9200,40,PG-13,2023,1h 58m,15,15,,
The Holdovers,8.0,24000,82,R,2023,2h 13m,16,16,,
Sideways,7.5,200000,94,R,2004,2h 7m,963,16,OWA0099,GG004
Downsizing,5.8,121000,64,R,2017,2h 15m,1361,16,,
Family Switch,5.6,16000,37,PG,2023,1h 46m,17,17,,
Terminator Salvation,6.5,374000,49,PG-13,2009,1h 55m,1333,17,,
Charlie's Angels,5.6,194000,52,PG-13,2000,1h 38m,1681,17,,
Indiana Jones and the Dial of Destiny,6.6,159000,58,PG-13,2023,2h 34m,18,18,,
Ford v Ferrari,8.1,448000,81,PG-13,2019,2h 32m,324,18,OWA0020,
Ford v Ferrari,8.1,448000,81,PG-13,2019,2h 32m,324,18,OWA0097,
Logan,8.1,813000,77,R,2017,2h 17m,660,18,,
"Girl, Interrupted",7.3,206000,51,R,1999,2h 7m,900,18,OWA0026,
Cop Land,7.0,104000,64,R,1997,1h 45m,1121,18,,
The Wolverine,6.7,486000,61,PG-13,2013,2h 6m,1134,18,,
Identity,7.3,263000,64,R,2003,1h 30m,1410,18,,
Walk the Line,7.8,262000,72,PG-13,2005,2h 16m,1655,18,OWA0081,
Knight and Day,6.3,208000,46,PG-13,2010,1h 49m,1672,18,,
Elf,7.1,300000,66,PG,2003,1h 37m,19,19,,
Iron Man,7.9,1100000,79,PG-13,2008,2h 6m,532,19,,
Chef,7.3,228000,68,R,2014,1h 54m,1136,19,,
Iron Man 2,6.9,856000,57,PG-13,2010,2h 4m,1494,19,,
The Jungle Book,7.4,289000,77,PG,2016,1h 46m,1716,19,OWA0084,
How the Grinch Stole Christmas,6.3,280000,46,PG,2000,1h 44m,20,20,,
A Beautiful Mind,8.2,972000,72,PG-13,2001,2h 15m,390,20,OWA0026,GG003
