Movie_Name,Rating,Votes,Meta_Score,PG_Rating,Year,Duration,Director,Movie_ID,Director_ID
The Santa Clause 2,5.7,63000,48,G,2002,1h 44m,Michael Lembeck,84,92
Gran Turismo,7.2,66000,48,PG-13,2023,2h 14m,Neill Blomkamp,85,93
Four Christmases,5.7,79000,41,PG-13,2008,1h 28m,Seth Gordon,87,96
Mad Max: Fury Road,8.1,1100000,90,R,2015,2h,George Miller,88,97
Glory,7.8,142000,78,R,1989,2h 2m,Edward Zwick,89,98
Suicide Squad,5.9,714000,40,PG-13,2016,2h 3m,David Ayer,90,99
The Muppet Christmas Carol,7.8,67000,64,G,1992,1h 25m,Brian Henson,91,100
The Family Stone,6.3,73000,56,PG-13,2005,1h 43m,Thomas Bezucha,92,101
The Lord of the Rings: The Fellowship of the Ring,8.8,2000000,92,PG-13,2001,2h 58m,Peter Jackson,94,104
Pride & Prejudice,7.8,322000,82,PG,2005,2h 9m,Joe Wright,95,105
Gladiator,8.5,1600000,67,R,2000,2h 35m,Ridley Scott,96,7
The Hunger Games: Catching Fire,7.5,707000,76,PG-13,2013,2h 26m,Francis Lawrence,97,6
Freelance,5.4,6800,24,R,2023,1h 48m,Pierre Morel,98,106
The Dark Knight,9,2800000,84,PG-13,2008,2h 32m,Christopher Nolan,99,8
Blade Runner 2049,8,637000,81,R,2017,2h 44m,Denis Villeneuve,100,66
Pulp Fiction,8.9,2200000,95,R,1994,2h 34m,Quentin Tarantino,101,107
The Age of Adaline,7.2,198000,51,PG-13,2015,1h 52m,Lee Toland Krieger,102,108
The Exorcist: Believer,4.8,32000,39,R,2023,1h 51m,David Gordon Green,103,109
Bad Santa,7.1,152000,70,R,2003,1h 32m,Terry Zwigoff,104,110
Scott Pilgrim vs. the World,7.5,458000,69,PG-13,2010,1h 52m,Edgar Wright,105,111
Guardians of the Galaxy Vol. 3,7.9,352000,64,PG-13,2023,2h 30m,James Gunn,106,83
Sound of Freedom,7.7,90000,36,PG-13,2023,2h 11m,Alejandro Monteverde,108,114
Krampus,6.2,82000,49,PG-13,2015,1h 38m,Michael Dougherty,110,117
Fight Club,8.8,2300000,67,R,1999,2h 19m,David Fincher,111,31
L.A. Confidential,8.2,607000,91,R,1997,2h 18m,Curtis Hanson,112,118
Transformers: Rise of the Beasts,6,92000,42,PG-13,2023,2h 7m,Steven Caple Jr.,113,119
Top Gun: Maverick,8.3,647000,78,PG-13,2022,2h 10m,Joseph Kosinski,114,120
Beverly Hills Cop,7.4,197000,66,R,1984,1h 45m,Martin Brest,115,121
The Christmas Chronicles,7,81000,52,PG,2018,1h 44m,Clay Kaytis,116,122
Pearl,7,83000,76,R,2022,1h 43m,Ti West,118,57
The Nightmare Before Christmas,7.9,369000,82,PG,1993,1h 16m,Henry Selick,119,125
Deck the Halls,5,32000,28,PG,2006,1h 33m,John Whitesell,120,126
Bottoms,6.8,25000,74,R,2023,1h 31m,Emma Seligman,121,127
Once Upon a Time in Hollywood,7.6,815000,83,R,2019,2h 41m,Quentin Tarantino,122,107
Avatar: The Way of Water,7.6,472000,67,PG-13,2022,3h 12m,James Cameron,123,128
Love,6.1,65000,51,TV-MA,2015,2h 15m,Gaspar No̩,124,129
Inception,8.8,2500000,74,PG-13,2010,2h 28m,Christopher Nolan,125,8
The Goonies,7.7,293000,62,PG,1985,1h 54m,Richard Donner,126,53
Saw X,6.6,60000,60,R,2023,1h 58m,Kevin Greutert,127,130
Godzilla,6.4,432000,62,PG-13,2014,2h 3m,Gareth Edwards,128,26
It's a Wonderful Knife,5.3,3700,52,R,2023,1h 27m,Tyler MacIntyre,129,131
A Christmas Story Christmas,6.7,17000,55,PG,2022,1h 38m,Clay Kaytis,130,122
Babylon,7.1,155000,61,R,2022,3h 9m,Damien Chazelle,131,132
Whiplash,8.5,953000,89,R,2014,1h 46m,Damien Chazelle,132,132
Titanic,7.9,1300000,75,PG-13,1997,3h 14m,James Cameron,133,128
Shazam! Fury of the Gods,6,116000,47,PG-13,2023,2h 10m,David F. Sandberg,134,133
A Good Person,7.1,18000,50,R,2023,2h 8m,Zach Braff,135,134
The Color Purple,7.7,94000,78,PG-13,1985,2h 34m,Steven Spielberg,136,135
Die Hard 2,7.1,377000,67,R,1990,2h 4m,Renny Harlin,137,136
Fair Play,6.4,30000,73,R,2023,1h 53m,Chloe Domont,138,137
