,Movie_Name,Movie_ID,Genre,Genre_ID
669,Belfast,519,Biography,11
670,Lost in Translation,523,Drama,1
671,Lost in Translation,523,Comedy,5
672,The Devil Wears Prada,524,Drama,1
673,The Devil Wears Prada,524,Comedy,5
674,Edward Scissorhands,527,Drama,1
675,Edward Scissorhands,527,Romance,7
676,Edward Scissorhands,527,Fantasy,12
677,Snowpiercer,530,Drama,1
678,Snowpiercer,530,Action,10
679,Snowpiercer,530,Sci-Fi,13
680,How It Ends,531,Drama,1
681,How It Ends,531,Action,10
682,How It Ends,531,Horror,16
683,Shame,534,Drama,1
684,Under the Skin,535,Drama,1
685,Under the Skin,535,Mystery,2
686,Under the Skin,535,Horror,16
687,Carol,541,Drama,1
688,Carol,541,Romance,7
689,Bram Stoker's Dracula,543,Drama,1
690,Bram Stoker's Dracula,543,Fantasy,12
691,Bram Stoker's Dracula,543,Horror,16
692,Single All the Way,545,Drama,1
693,Single All the Way,545,Comedy,5
694,Single All the Way,545,Romance,7
695,Guillermo del Toro's Pinocchio,549,Drama,1
696,Guillermo del Toro's Pinocchio,549,Family,6
697,Guillermo del Toro's Pinocchio,549,Animation,15
698,The Noel Diary,556,Drama,1
699,The Noel Diary,556,Comedy,5
700,The Noel Diary,556,Romance,7
701,The Bishop's Wife,560,Drama,1
702,The Bishop's Wife,560,Comedy,5
703,The Bishop's Wife,560,Fantasy,12
704,28 Days Later,561,Drama,1
705,28 Days Later,561,Sci-Fi,13
706,28 Days Later,561,Horror,16
707,The Breakfast Club,563,Drama,1
708,The Breakfast Club,563,Comedy,5
709,Moonlight,569,Drama,1
710,Dear John,578,Drama,1
711,Dear John,578,Romance,7
712,Dear John,578,War,20
713,What's Eating Gilbert Grape,580,Drama,1
714,TÃ¡r,581,Drama,1
715,TÃ¡r,581,Music,14
716,The Blue Lagoon,584,Drama,1
717,The Blue Lagoon,584,Adventure,4
718,The Blue Lagoon,584,Romance,7
719,American Hustle,586,Drama,1
720,American Hustle,586,Crime,8
721,To Catch a Killer,595,Drama,1
722,To Catch a Killer,595,Crime,8
723,To Catch a Killer,595,Action,10
724,The Sixth Sense,596,Drama,1
725,The Sixth Sense,596,Mystery,2
726,The Sixth Sense,596,Thriller,3
727,Silver Linings Playbook,598,Drama,1
728,Silver Linings Playbook,598,Comedy,5
729,Silver Linings Playbook,598,Romance,7
730,Casino,600,Drama,1
731,Casino,600,Crime,8
732,Platoon,604,Drama,1
733,Platoon,604,War,20
734,Deep Water,605,Drama,1
735,Deep Water,605,Mystery,2
736,Deep Water,605,Thriller,3
737,Les MisÃ©rables,606,Drama,1
738,Les MisÃ©rables,606,Romance,7
739,Les MisÃ©rables,606,Musical,17
740,Beautiful Boy,608,Drama,1
741,Beautiful Boy,608,Biography,11
742,Saturday Night Fever,609,Drama,1
743,Saturday Night Fever,609,Music,14
744,Army of the Dead,610,Drama,1
745,Army of the Dead,610,Crime,8
746,Army of the Dead,610,Action,10
747,The Father,611,Drama,1
748,The Father,611,Mystery,2
749,Diary of a Wimpy Kid,612,Drama,1
750,Diary of a Wimpy Kid,612,Comedy,5
751,Diary of a Wimpy Kid,612,Family,6
752,Love at First Sight,613,Drama,1
753,Love at First Sight,613,Romance,7
754,The Perks of Being a Wallflower,614,Drama,1
755,Casablanca,615,Drama,1
756,Casablanca,615,Romance,7
757,Casablanca,615,War,20
758,Blonde,618,Drama,1
759,Blonde,618,History,9
760,Hamilton,619,Drama,1
761,Hamilton,619,History,9
762,Hamilton,619,Biography,11
763,My Big Fat Greek Wedding 3,621,Drama,1
764,My Big Fat Greek Wedding 3,621,Comedy,5
765,My Big Fat Greek Wedding 3,621,Romance,7
766,The Imitation Game,626,Drama,1
767,The Imitation Game,626,Thriller,3
768,The Imitation Game,626,Biography,11
769,After,628,Drama,1
770,After,628,Romance,7
771,Into the Wild,631,Drama,1
772,Into the Wild,631,Adventure,4
773,Into the Wild,631,Biography,11
774,Training Day,634,Drama,1
775,Training Day,634,Thriller,3
776,Training Day,634,Crime,8
777,Lady Chatterley's Lover,638,Drama,1
778,Lady Chatterley's Lover,638,Romance,7
779,Black Hawk Down,639,Drama,1
780,Black Hawk Down,639,History,9
781,Black Hawk Down,639,Action,10
782,Bad Santa 2,640,Drama,1
783,Bad Santa 2,640,Comedy,5
784,Bad Santa 2,640,Crime,8
785,Baby Driver,641,Drama,1
786,Baby Driver,641,Crime,8
787,Baby Driver,641,Action,10
788,Bones and All,642,Drama,1
789,Bones and All,642,Romance,7
790,Bones and All,642,Horror,16
791,Closer,643,Drama,1
792,Closer,643,Romance,7
793,The Pelican Brief,650,Drama,1
794,The Pelican Brief,650,Mystery,2
795,The Pelican Brief,650,Crime,8
796,Atonement,651,Drama,1
797,Atonement,651,Mystery,2
798,Atonement,651,Romance,7
799,The Fugitive,652,Drama,1
800,The Fugitive,652,Crime,8
801,The Fugitive,652,Action,10
802,The Secret: Dare to Dream,653,Drama,1
803,The Secret: Dare to Dream,653,Romance,7
804,Passengers,654,Drama,1
805,Passengers,654,Romance,7
806,Passengers,654,Sci-Fi,13
807,Groundhog Day,656,Drama,1
808,Groundhog Day,656,Comedy,5
809,Groundhog Day,656,Fantasy,12
810,Scrooge,657,Drama,1
811,Scrooge,657,Family,6
812,Scrooge,657,Fantasy,12
813,Notting Hill,659,Drama,1
814,Notting Hill,659,Comedy,5
815,Notting Hill,659,Romance,7
816,Logan,660,Drama,1
817,Logan,660,Action,10
818,Logan,660,Sci-Fi,13
819,City of Angels,667,Drama,1
820,City of Angels,667,Romance,7
821,City of Angels,667,Fantasy,12
822,Pleasure,668,Drama,1
823,A Time to Kill,671,Drama,1
824,A Time to Kill,671,Thriller,3
825,A Time to Kill,671,Crime,8
826,Rocky,673,Drama,1
827,Rocky,673,Sport,19
828,The Virgin Suicides,675,Drama,1
829,The Virgin Suicides,675,Romance,7
830,Doctor Sleep,676,Drama,1
831,Doctor Sleep,676,Fantasy,12
832,Doctor Sleep,676,Horror,16
833,A Star Is Born,678,Drama,1
834,A Star Is Born,678,Romance,7
835,A Star Is Born,678,Music,14
836,Australia,679,Drama,1
837,Australia,679,Adventure,4
838,Australia,679,Romance,7
839,Payback,682,Drama,1
840,Payback,682,Crime,8
841,Payback,682,Action,10
