Year Film,Year Ceremony,Award,Name of Winner,Movie Name,Oscar Award ID
1935,1936,ACTOR,Victor McLaglen,The Informer,OWA0001
1935,1936,ACTRESS,Bette Davis,Dangerous,OWA0002
1935,1936,ART DIRECTION,Richard Day,The Dark Angel,OWA0003
1935,1936,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer,OWA0019
1935,1936,CINEMATOGRAPHY,Hal Mohr,A Midsummer Night's Dream,OWA0004
1935,1936,DANCE DIRECTION,Dave Gould,Broadway Melody of 1936;,OWA0023
1935,1936,DIRECTING,John Ford,The Informer,OWA0012
1935,1936,FILM EDITING,Ralph Dawson,A Midsummer Night's Dream,OWA0020
1935,1936,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer,OWA0021
1935,1936,MUSIC (Song),Music by Harry Warren; Lyrics by Al Dubin,Gold Diggers of 1935,OWA0022
1935,1936,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Mutiny on the Bounty,OWA0014
1935,1936,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Three Orphan Kittens,OWA0016
1935,1936,SHORT SUBJECT (Comedy),"Jack Chertok, Producer",How to Sleep,OWA0017
1935,1936,SHORT SUBJECT (Novelty),Gaumont British and Skibo Productions,Wings over Mt. Everest,OWA0018
1935,1936,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Naughty Marietta,OWA0015
1935,1936,WRITING (Original Story),"Ben Hecht, Charles MacArthur",The Scoundrel,OWA0011
1935,1936,WRITING (Screenplay),Dudley Nichols,The Informer,OWA0024
1936,1937,ACTOR,Paul Muni,The Story of Louis Pasteur,OWA0001
1936,1937,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Come and Get It,OWA0025
1936,1937,ACTRESS,Luise Rainer,The Great Ziegfeld,OWA0002
1936,1937,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse,OWA0026
1936,1937,ART DIRECTION,Richard Day,Dodsworth,OWA0003
1936,1937,ASSISTANT DIRECTOR,Jack Sullivan,The Charge of the Light Brigade,OWA0019
1936,1937,CINEMATOGRAPHY,Gaetano Gaudio,Anthony Adverse,OWA0004
1936,1937,DANCE DIRECTION,Seymour Felix,The Great Ziegfeld,OWA0023
1936,1937,DIRECTING,Frank Capra,Mr. Deeds Goes to Town,OWA0012
1936,1937,FILM EDITING,Ralph Dawson,Anthony Adverse,OWA0020
1936,1937,MUSIC (Scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Anthony Adverse,OWA0021
1936,1937,MUSIC (Song),Music by Jerome Kern; Lyrics by Dorothy Fields,Swing Time,OWA0022
1936,1937,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Great Ziegfeld,OWA0014
1936,1937,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Country Cousin,OWA0016
1936,1937,SHORT SUBJECT (Color),Warner Bros.,Give Me Liberty,OWA0027
1936,1937,SHORT SUBJECT (One-reel),"Hal Roach, Producer",Bored of Education,OWA0028
1936,1937,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,The Public Pays,OWA0029
1936,1937,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",San Francisco,OWA0015
1936,1937,WRITING (Original Story),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,OWA0011
1936,1937,WRITING (Screenplay),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,OWA0024
1937,1938,ACTOR,Spencer Tracy,Captains Courageous,OWA0001
1937,1938,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,The Life of Emile Zola,OWA0025
1937,1938,ACTRESS,Luise Rainer,The Good Earth,OWA0002
1937,1938,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,OWA0026
1937,1938,ART DIRECTION,Stephen Goosson,Lost Horizon,OWA0003
1937,1938,ASSISTANT DIRECTOR,Robert Webb,In Old Chicago,OWA0019
1937,1938,CINEMATOGRAPHY,Karl Freund,The Good Earth,OWA0004
1937,1938,DANCE DIRECTION,Hermes Pan,A Damsel in Distress,OWA0023
1937,1938,DIRECTING,Leo McCarey,The Awful Truth,OWA0012
1937,1938,FILM EDITING,"Gene Havlick, Gene Milford",Lost Horizon,OWA0020
1937,1938,MUSIC (Scoring),"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",One Hundred Men and a Girl,OWA0021
1937,1938,MUSIC (Song),Music and Lyrics by Harry Owens,Waikiki Wedding,OWA0022
1937,1938,OUTSTANDING PRODUCTION,Warner Bros.,The Life of Emile Zola,OWA0014
1937,1938,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Old Mill,OWA0016
1937,1938,SHORT SUBJECT (Color),"Pete Smith, Producer",Penny Wisdom,OWA0027
1937,1938,SHORT SUBJECT (One-reel),Skibo Productions,The Private Life of the Gannets,OWA0028
1937,1938,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,Torture Money,OWA0029
1937,1938,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Hurricane,OWA0015
1937,1938,WRITING (Original Story),"William A. Wellman, Robert Carson",A Star Is Born,OWA0011
1937,1938,WRITING (Screenplay),"Norman Reilly Raine, Heinz Herald, Geza Herczeg",The Life of Emile Zola,OWA0024
1938,1939,ACTOR,Spencer Tracy,Boys Town,OWA0001
1938,1939,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Kentucky,OWA0025
1938,1939,ACTRESS,Bette Davis,Jezebel,OWA0002
1938,1939,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,Jezebel,OWA0026
1938,1939,ART DIRECTION,Carl J. Weyl,The Adventures of Robin Hood,OWA0003
1938,1939,CINEMATOGRAPHY,Joseph Ruttenberg,The Great Waltz,OWA0004
1938,1939,DIRECTING,Frank Capra,You Can't Take It with You,OWA0012
1938,1939,FILM EDITING,Ralph Dawson,The Adventures of Robin Hood,OWA0020
1938,1939,MUSIC (Original Score),Erich Wolfgang Korngold,The Adventures of Robin Hood,OWA0030
1938,1939,MUSIC (Scoring),Alfred Newman,Alexander's Ragtime Band,OWA0021
1938,1939,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938,OWA0022
1938,1939,OUTSTANDING PRODUCTION,Columbia,You Can't Take It with You,OWA0014
1938,1939,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Ferdinand the Bull,OWA0016
1938,1939,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,That Mothers Might Live,OWA0028
1938,1939,SHORT SUBJECT (Two-reel),Warner Bros.,Declaration of Independence,OWA0029
1938,1939,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Cowboy and the Lady,OWA0015
1938,1939,WRITING (Original Story),"Dore Schary, Eleanore Griffin",Boys Town,OWA0011
1938,1939,WRITING (Screenplay),"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",Pygmalion,OWA0024
1939,1940,ACTOR,Robert Donat,"Goodbye, Mr. Chips",OWA0001
1939,1940,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,OWA0025
1939,1940,ACTRESS,Vivien Leigh,Gone with the Wind,OWA0002
1939,1940,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,OWA0026
1939,1940,ART DIRECTION,Lyle Wheeler,Gone with the Wind,OWA0003
1939,1940,CINEMATOGRAPHY (Black-and-White),Gregg Toland,Wuthering Heights,OWA0031
1939,1940,CINEMATOGRAPHY (Color),"Ernest Haller, Ray Rennahan",Gone with the Wind,OWA0032
1939,1940,DIRECTING,Victor Fleming,Gone with the Wind,OWA0012
1939,1940,FILM EDITING,"Hal C. Kern, James E. Newcom",Gone with the Wind,OWA0020
1939,1940,MUSIC (Original Score),Herbert Stothart,The Wizard of Oz,OWA0030
1939,1940,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,OWA0021
1939,1940,MUSIC (Song),Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz,OWA0022
1939,1940,OUTSTANDING PRODUCTION,Selznick International Pictures,Gone with the Wind,OWA0014
1939,1940,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Ugly Duckling,OWA0016
1939,1940,SHORT SUBJECT (One-reel),Paramount,Busy Little Bears,OWA0028
1939,1940,SHORT SUBJECT (Two-reel),Warner Bros.,Sons of Liberty,OWA0029
1939,1940,SOUND RECORDING,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",When Tomorrow Comes,OWA0015
1939,1940,SPECIAL EFFECTS,"Fred Sersen, E. H. Hansen",The Rains Came,OWA0033
1939,1940,WRITING (Original Story),Lewis R. Foster,Mr. Smith Goes to Washington,OWA0011
1939,1940,WRITING (Screenplay),Sidney Howard,Gone with the Wind,OWA0024
1940,1941,ACTOR,James Stewart,The Philadelphia Story,OWA0001
1940,1941,ACTOR IN A SUPPORTING ROLE,Walter Brennan,The Westerner,OWA0025
1940,1941,ACTRESS,Ginger Rogers,Kitty Foyle,OWA0002
1940,1941,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,OWA0026
1940,1941,ART DIRECTION (Black-and-White),"Cedric Gibbons, Paul Groesse",Pride and Prejudice,OWA0034
1940,1941,ART DIRECTION (Color),Vincent Korda,The Thief of Bagdad,OWA0035
1940,1941,CINEMATOGRAPHY (Black-and-White),George Barnes,Rebecca,OWA0031
1940,1941,CINEMATOGRAPHY (Color),Georges Périnal,The Thief of Bagdad,OWA0032
1940,1941,DIRECTING,John Ford,The Grapes of Wrath,OWA0012
1940,1941,FILM EDITING,Anne Bauchens,North West Mounted Police,OWA0020
1940,1941,MUSIC (Original Score),"Leigh Harline, Paul J. Smith, Ned Washington",Pinocchio,OWA0030
1940,1941,MUSIC (Scoring),Alfred Newman,Tin Pan Alley,OWA0021
1940,1941,MUSIC (Song),Music by Leigh Harline; Lyrics by Ned Washington,Pinocchio,OWA0022
1940,1941,OUTSTANDING PRODUCTION,Selznick International Pictures,Rebecca,OWA0014
1940,1941,SHORT SUBJECT (Cartoon),Metro-Goldwyn-Mayer,The Milky Way,OWA0016
1940,1941,SHORT SUBJECT (One-reel),"Pete Smith, Producer",Quicker 'N a Wink,OWA0028
1940,1941,SHORT SUBJECT (Two-reel),Warner Bros.,"Teddy, the Rough Rider",OWA0029
1940,1941,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Strike Up the Band,OWA0015
1940,1941,SPECIAL EFFECTS,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,The Thief of Bagdad,OWA0033
1940,1941,WRITING (Original Screenplay),Preston Sturges,The Great McGinty,OWA0036
1940,1941,WRITING (Original Story),"Benjamin Glazer, John S. Toldy","Arise, My Love",OWA0011
1940,1941,WRITING (Screenplay),Donald Ogden Stewart,The Philadelphia Story,OWA0024
1941,1942,ACTOR,Gary Cooper,Sergeant York,OWA0001
1941,1942,ACTOR IN A SUPPORTING ROLE,Donald Crisp,How Green Was My Valley,OWA0025
1941,1942,ACTRESS,Joan Fontaine,Suspicion,OWA0002
1941,1942,ACTRESS IN A SUPPORTING ROLE,Mary Astor,The Great Lie,OWA0026
1941,1942,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little",How Green Was My Valley,OWA0034
1941,1942,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",Blossoms in the Dust,OWA0035
1941,1942,CINEMATOGRAPHY (Black-and-White),Arthur Miller,How Green Was My Valley,OWA0031
1941,1942,CINEMATOGRAPHY (Color),"Ernest Palmer, Ray Rennahan",Blood and Sand,OWA0032
1941,1942,DIRECTING,John Ford,How Green Was My Valley,OWA0012
1941,1942,DOCUMENTARY (Short Subject),National Film Board of Canada,Churchill's Island,OWA0037
1941,1942,FILM EDITING,William Holmes,Sergeant York,OWA0020
1941,1942,MUSIC (Music Score of a Dramatic Picture),Bernard Herrmann,All That Money Can Buy,OWA0038
1941,1942,MUSIC (Scoring of a Musical Picture),"Frank Churchill, Oliver Wallace",Dumbo,OWA0039
1941,1942,MUSIC (Song),Music by Jerome Kern; Lyrics by Oscar Hammerstein II,Lady Be Good,OWA0022
1941,1942,OUTSTANDING MOTION PICTURE,20th Century-Fox,How Green Was My Valley,OWA0040
1941,1942,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Lend a Paw,OWA0016
1941,1942,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,Of Pups and Puzzles,OWA0028
