Year Film,Year Ceremony,Award,Name of Winner,Movie Name,Oscar Award ID
1955,1956,SHORT SUBJECT (One-reel),"Edmund Reek, Producer",Survival City,OWA0028
1955,1956,SHORT SUBJECT (Two-reel),"Wilbur T. Blume, Producer",The Face of Lincoln,OWA0029
1955,1956,SOUND RECORDING,"Todd-AO Sound Department, Fred Hynes, Sound Director",Oklahoma!,OWA0015
1955,1956,SPECIAL EFFECTS,Paramount Studio,The Bridges at Toko-Ri,OWA0033
1955,1956,WRITING (Motion Picture Story),Daniel Fuchs,Love Me or Leave Me,OWA0046
1955,1956,WRITING (Screenplay),Paddy Chayefsky,Marty,OWA0024
1955,1956,WRITING (Story and Screenplay),"William Ludwig, Sonya Levien",Interrupted Melody,OWA0049
1956,1957,ACTOR,Yul Brynner,The King and I,OWA0001
1956,1957,ACTOR IN A SUPPORTING ROLE,Anthony Quinn,Lust for Life,OWA0025
1956,1957,ACTRESS,Ingrid Bergman,Anastasia,OWA0002
1956,1957,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone,Written on the Wind,OWA0026
1956,1957,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",Somebody Up There Likes Me,OWA0034
1956,1957,ART DIRECTION (Color),"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",The King and I,OWA0035
1956,1957,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Somebody Up There Likes Me,OWA0031
1956,1957,CINEMATOGRAPHY (Color),Lionel Lindon,Around the World in 80 Days,OWA0032
1956,1957,COSTUME DESIGN (Black-and-White),Jean Louis,The Solid Gold Cadillac,OWA0047
1956,1957,COSTUME DESIGN (Color),Irene Sharaff,The King and I,OWA0048
1956,1957,DIRECTING,George Stevens,Giant,OWA0012
1956,1957,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",The Silent World,OWA0044
1956,1957,DOCUMENTARY (Short Subject),"Louis Clyde Stoumen, Producer",The True Story of the Civil War,OWA0037
1956,1957,FILM EDITING,"Gene Ruggiero, Paul Weatherwax",Around the World in 80 Days,OWA0020
1956,1957,FOREIGN LANGUAGE FILM,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada,OWA0050
1956,1957,MUSIC (Music Score of a Dramatic or Comedy Picture),Victor Young,Around the World in 80 Days,OWA0042
1956,1957,MUSIC (Scoring of a Musical Picture),"Alfred Newman, Ken Darby",The King and I,OWA0039
1956,1957,MUSIC (Song),Music and Lyrics by Jay Livingston and Ray Evans,The Man Who Knew Too Much,OWA0022
1956,1957,BEST MOTION PICTURE,"Michael Todd, Producer",Around the World in 80 Days,OWA0045
1956,1957,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Mister Magoo's Puddle Jumper,OWA0016
1956,1957,SHORT SUBJECT (One-reel),"Konstantin Kalser, Producer",Crashing the Water Barrier,OWA0028
1956,1957,SHORT SUBJECT (Two-reel),Romulus Films,The Bespoke Overcoat,OWA0029
1956,1957,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",The King and I,OWA0015
1956,1957,SPECIAL EFFECTS,John Fulton,The Ten Commandments,OWA0033
1956,1957,WRITING (Motion Picture Story),Dalton Trumbo,The Brave One,OWA0046
1956,1957,WRITING (Screenplay--Adapted),"James Poe, John Farrow, S.J. Perelman",Around the World in 80 Days,OWA0051
1956,1957,WRITING (Screenplay--Original),Albert Lamorisse,The Red Balloon,OWA0052
1957,1958,ACTOR,Alec Guinness,The Bridge on the River Kwai,OWA0001
1957,1958,ACTOR IN A SUPPORTING ROLE,Red Buttons,Sayonara,OWA0025
1957,1958,ACTRESS,Joanne Woodward,The Three Faces of Eve,OWA0002
1957,1958,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,Sayonara,OWA0026
1957,1958,ART DIRECTION,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,Sayonara,OWA0003
1957,1958,CINEMATOGRAPHY,Jack Hildyard,The Bridge on the River Kwai,OWA0004
1957,1958,COSTUME DESIGN,Orry-Kelly,Les Girls,OWA0053
1957,1958,DIRECTING,David Lean,The Bridge on the River Kwai,OWA0012
1957,1958,DOCUMENTARY (Feature),"Jerome Hill, Producer",Albert Schweitzer,OWA0044
1957,1958,FILM EDITING,Peter Taylor,The Bridge on the River Kwai,OWA0020
1957,1958,FOREIGN LANGUAGE FILM,Italy,The Nights of Cabiria,OWA0050
1957,1958,MUSIC (Scoring),Malcolm Arnold,The Bridge on the River Kwai,OWA0021
1957,1958,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,The Joker Is Wild,OWA0022
1957,1958,BEST MOTION PICTURE,"Sam Spiegel, Producer",The Bridge on the River Kwai,OWA0045
1957,1958,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Birds Anonymous,OWA0016
1957,1958,SHORT SUBJECT (Live Action),"Larry Lansburgh, Producer",The Wetback Hound,OWA0054
1957,1958,SOUND RECORDING,"Warner Bros. Studio Sound Department, George Groves, Sound Director",Sayonara,OWA0015
1957,1958,SPECIAL EFFECTS,Audible Effects by Walter Rossi,The Enemy Below,OWA0033
1957,1958,WRITING (Screenplay--based on material from another medium),"Michael Wilson, Carl Foreman, Pierre Boulle",The Bridge on the River Kwai,OWA0055
1957,1958,WRITING (Story and Screenplay--written directly for the screen),George Wells,Designing Woman,OWA0056
1958,1959,ACTOR,David Niven,Separate Tables,OWA0001
1958,1959,ACTOR IN A SUPPORTING ROLE,Burl Ives,The Big Country,OWA0025
1958,1959,ACTRESS,Susan Hayward,I Want to Live!,OWA0002
1958,1959,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,Separate Tables,OWA0026
1958,1959,ART DIRECTION,"Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason",Gigi,OWA0003
1958,1959,CINEMATOGRAPHY (Black-and-White),Sam Leavitt,The Defiant Ones,OWA0031
1958,1959,CINEMATOGRAPHY (Color),Joseph Ruttenberg,Gigi,OWA0032
1958,1959,COSTUME DESIGN,Cecil Beaton,Gigi,OWA0053
1958,1959,DIRECTING,Vincente Minnelli,Gigi,OWA0012
1958,1959,DOCUMENTARY (Feature),"Ben Sharpsteen, Producer",White Wilderness,OWA0044
1958,1959,DOCUMENTARY (Short Subject),"Ben Sharpsteen, Producer",Ama Girls,OWA0037
1958,1959,FILM EDITING,Adrienne Fazan,Gigi,OWA0020
1958,1959,FOREIGN LANGUAGE FILM,France,My Uncle,OWA0050
1958,1959,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,The Old Man and the Sea,OWA0042
1958,1959,MUSIC (Scoring of a Musical Picture),Andre Previn,Gigi,OWA0039
1958,1959,MUSIC (Song),Music by Frederick Loewe; Lyrics by Alan Jay Lerner,Gigi,OWA0022
1958,1959,BEST MOTION PICTURE,"Arthur Freed, Producer",Gigi,OWA0045
1958,1959,SHORT SUBJECT (Cartoon),"John W. Burton, Producer",Knighty Knight Bugs,OWA0016
1958,1959,SHORT SUBJECT (Live Action),"Walt Disney, Producer",Grand Canyon,OWA0054
1958,1959,SOUND,"Todd-AO Sound Department, Fred Hynes, Sound Director",South Pacific,OWA0057
1958,1959,SPECIAL EFFECTS,Visual Effects by Tom Howard,tom thumb,OWA0033
1958,1959,WRITING (Screenplay--based on material from another medium),Alan Jay Lerner,Gigi,OWA0055
1958,1959,WRITING (Story and Screenplay--written directly for the screen),"Nedrick Young, Harold Jacob Smith",The Defiant Ones,OWA0056
1959,1960,ACTOR,Charlton Heston,Ben-Hur,OWA0001
1959,1960,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,Ben-Hur,OWA0025
1959,1960,ACTRESS,Simone Signoret,Room at the Top,OWA0002
1959,1960,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,The Diary of Anne Frank,OWA0026
1959,1960,ART DIRECTION (Black-and-White),"Art Direction:  Lyle R. Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",The Diary of Anne Frank,OWA0034
1959,1960,ART DIRECTION (Color),"Art Direction:  William A. Horning, Edward Carfagno;  Set Decoration:  Hugh Hunt",Ben-Hur,OWA0035
1959,1960,CINEMATOGRAPHY (Black-and-White),William C. Mellor,The Diary of Anne Frank,OWA0031
1959,1960,CINEMATOGRAPHY (Color),Robert L. Surtees,Ben-Hur,OWA0032
1959,1960,COSTUME DESIGN (Black-and-White),Orry-Kelly,Some Like It Hot,OWA0047
1959,1960,COSTUME DESIGN (Color),Elizabeth Haffenden,Ben-Hur,OWA0048
1959,1960,DIRECTING,William Wyler,Ben-Hur,OWA0012
1959,1960,DOCUMENTARY (Feature),"Bernhard Grzimek, Producer",Serengeti Shall Not Die,OWA0044
1959,1960,DOCUMENTARY (Short Subject),"Bert Haanstra, Producer",Glass,OWA0037
1959,1960,FILM EDITING,"Ralph E. Winters, John D. Dunning",Ben-Hur,OWA0020
1959,1960,FOREIGN LANGUAGE FILM,France,Black Orpheus,OWA0050
1959,1960,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,Ben-Hur,OWA0042
1959,1960,MUSIC (Scoring of a Musical Picture),"Andre Previn, Ken Darby",Porgy and Bess,OWA0039
1959,1960,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,A Hole in the Head,OWA0022
1959,1960,BEST MOTION PICTURE,"Sam Zimbalist, Producer",Ben-Hur,OWA0045
1959,1960,SHORT SUBJECT (Cartoon),"John Hubley, Producer",Moonbird,OWA0016
1959,1960,SHORT SUBJECT (Live Action),"Jacques-Yves Cousteau, Producer",The Golden Fish,OWA0054
1959,1960,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Ben-Hur,OWA0057
1959,1960,SPECIAL EFFECTS,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory",Ben-Hur,OWA0033
1959,1960,WRITING (Screenplay--based on material from another medium),Neil Paterson,Room at the Top,OWA0055
1959,1960,WRITING (Story and Screenplay--written directly for the screen),"Story by Russell Rouse, Clarence Greene;  Screenplay by Stanley Shapiro, Maurice Richlin",Pillow Talk,OWA0056
1960,1961,ACTOR,Burt Lancaster,Elmer Gantry,OWA0001
1960,1961,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Spartacus,OWA0025
1960,1961,ACTRESS,Elizabeth Taylor,Butterfield 8,OWA0002
1960,1961,ACTRESS IN A SUPPORTING ROLE,Shirley Jones,Elmer Gantry,OWA0026
1960,1961,ART DIRECTION (Black-and-White),Art Direction:  Alexander Trauner;  Set Decoration:  Edward G. Boyle,The Apartment,OWA0034
1960,1961,ART DIRECTION (Color),"Art Direction:  Alexander Golitzen, Eric Orbom;  Set Decoration:  Russell A. Gausman, Julia Heron",Spartacus,OWA0035
1960,1961,CINEMATOGRAPHY (Black-and-White),Freddie Francis,Sons and Lovers,OWA0031
1960,1961,CINEMATOGRAPHY (Color),Russell Metty,Spartacus,OWA0032
1960,1961,COSTUME DESIGN (Black-and-White),"Edith Head, Edward Stevenson",The Facts of Life,OWA0047
1960,1961,COSTUME DESIGN (Color),"Valles, Bill Thomas",Spartacus,OWA0048
1960,1961,DIRECTING,Billy Wilder,The Apartment,OWA0012
1960,1961,DOCUMENTARY (Feature),"Larry Lansburgh, Producer",The Horse with the Flying Tail,OWA0044
1960,1961,DOCUMENTARY (Short Subject),"James Hill, Producer",Giuseppina,OWA0037
1960,1961,FILM EDITING,Daniel Mandell,The Apartment,OWA0020
1960,1961,FOREIGN LANGUAGE FILM,Sweden,The Virgin Spring,OWA0050
1960,1961,MUSIC (Music Score of a Dramatic or Comedy Picture),Ernest Gold,Exodus,OWA0042
1960,1961,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, Harry Sukman",Song without End (The Story of Franz Liszt),OWA0039
1960,1961,MUSIC (Song),Music and Lyrics by Manos Hadjidakis,Never on Sunday,OWA0022
1960,1961,BEST MOTION PICTURE,"Billy Wilder, Producer",The Apartment,OWA0045
1960,1961,SHORT SUBJECT (Cartoon),"William L. Snyder, Producer",Munro,OWA0016
1960,1961,SHORT SUBJECT (Live Action),"Ezra R. Baker, Producer",Day of the Painter,OWA0054
1960,1961,SOUND,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",The Alamo,OWA0057
1960,1961,SPECIAL EFFECTS,"Visual Effects by Gene Warren, Tim Baar",The Time Machine,OWA0033
1960,1961,WRITING (Screenplay--based on material from another medium),Richard Brooks,Elmer Gantry,OWA0055
1960,1961,WRITING (Story and Screenplay--written directly for the screen),"Billy Wilder, I. A. L. Diamond",The Apartment,OWA0056
1961,1962,ACTOR,Maximilian Schell,Judgment at Nuremberg,OWA0001
1961,1962,ACTOR IN A SUPPORTING ROLE,George Chakiris,West Side Story,OWA0025
1961,1962,ACTRESS,Sophia Loren,Two Women,OWA0002
1961,1962,ACTRESS IN A SUPPORTING ROLE,Rita Moreno,West Side Story,OWA0026
1961,1962,ART DIRECTION (Black-and-White),Art Direction:  Harry Horner;  Set Decoration:  Gene Callahan,The Hustler,OWA0034
1961,1962,ART DIRECTION (Color),Art Direction:  Boris Leven;  Set Decoration:  Victor A. Gangelin,West Side Story,OWA0035
1961,1962,CINEMATOGRAPHY (Black-and-White),Eugen Shuftan,The Hustler,OWA0031
1961,1962,CINEMATOGRAPHY (Color),Daniel L. Fapp,West Side Story,OWA0032
1961,1962,COSTUME DESIGN (Black-and-White),Piero Gherardi,La Dolce Vita,OWA0047
1961,1962,COSTUME DESIGN (Color),Irene Sharaff,West Side Story,OWA0048
1961,1962,DIRECTING,"Robert Wise, Jerome Robbins",West Side Story,OWA0012
1961,1962,DOCUMENTARY (Feature),"Arthur Cohn and Rene Lafuite, Producers",Le Ciel et la Boue (Sky Above and Mud Beneath),OWA0044
1961,1962,DOCUMENTARY (Short Subject),"Frank P. Bibas, Producer",Project Hope,OWA0037
1961,1962,FILM EDITING,Thomas Stanford,West Side Story,OWA0020
1961,1962,FOREIGN LANGUAGE FILM,Sweden,Through a Glass Darkly,OWA0050
1961,1962,MUSIC (Music Score of a Dramatic or Comedy Picture),Henry Mancini,Breakfast at Tiffany's,OWA0042
1961,1962,MUSIC (Scoring of a Musical Picture),"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",West Side Story,OWA0039
1961,1962,MUSIC (Song),Music by Henry Mancini; Lyrics by Johnny Mercer,Breakfast at Tiffany's,OWA0022
1961,1962,BEST MOTION PICTURE,"Robert Wise, Producer",West Side Story,OWA0045
1961,1962,SHORT SUBJECT (Cartoon),Zagreb Film,Ersatz (The Substitute),OWA0016
1961,1962,SHORT SUBJECT (Live Action),Templar Film Studios,Seawards the Great Ships,OWA0054
1961,1962,SOUND,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",West Side Story,OWA0057
1961,1962,SPECIAL EFFECTS,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham,The Guns of Navarone,OWA0033
1961,1962,WRITING (Screenplay--based on material from another medium),Abby Mann,Judgment at Nuremberg,OWA0055
1961,1962,WRITING (Story and Screenplay--written directly for the screen),William Inge,Splendor in the Grass,OWA0056
1962,1963,ACTOR,Gregory Peck,To Kill a Mockingbird,OWA0001
1962,1963,ACTOR IN A SUPPORTING ROLE,Ed Begley,Sweet Bird of Youth,OWA0025
1962,1963,ACTRESS,Anne Bancroft,The Miracle Worker,OWA0002
1962,1963,ACTRESS IN A SUPPORTING ROLE,Patty Duke,The Miracle Worker,OWA0026
1962,1963,ART DIRECTION (Black-and-White),"Art Direction:  Alexander Golitzen, Henry Bumstead;  Set Decoration:  Oliver Emert",To Kill a Mockingbird,OWA0034
1962,1963,ART DIRECTION (Color),"Art Direction:  John Box, John Stoll;  Set Decoration:  Dario Simoni",Lawrence of Arabia,OWA0035
1962,1963,CINEMATOGRAPHY (Black-and-White),"Jean Bourgoin, Walter Wottitz, (Henri Persin)",The Longest Day,OWA0031
1962,1963,CINEMATOGRAPHY (Color),Fred A. Young,Lawrence of Arabia,OWA0032
1962,1963,COSTUME DESIGN (Black-and-White),Norma Koch,What Ever Happened to Baby Jane?,OWA0047
1962,1963,COSTUME DESIGN (Color),Mary Wills,The Wonderful World of the Brothers Grimm,OWA0048
1962,1963,DIRECTING,David Lean,Lawrence of Arabia,OWA0012
1962,1963,DOCUMENTARY (Feature),"Louis Clyde Stoumen, Producer",Black Fox,OWA0044
1962,1963,DOCUMENTARY (Short Subject),"Jack Howells, Producer",Dylan Thomas,OWA0037
1962,1963,FILM EDITING,Anne Coates,Lawrence of Arabia,OWA0020
1962,1963,FOREIGN LANGUAGE FILM,France,Sundays and Cybele,OWA0050
1962,1963,MUSIC (Music Score--substantially original),Maurice Jarre,Lawrence of Arabia,OWA0058
1962,1963,MUSIC (Scoring of Music--adaptation or treatment),Ray Heindorf,Meredith Willson's The Music Man,OWA0059
1962,1963,MUSIC (Song),Music by Henry Mancini; Lyrics by Johnny Mercer,Days of Wine and Roses,OWA0022
1962,1963,BEST PICTURE,"Sam Spiegel, Producer",Lawrence of Arabia,OWA0060
1962,1963,SHORT SUBJECT (Cartoon),"John Hubley and Faith Hubley, Producers",The Hole,OWA0016
1962,1963,SHORT SUBJECT (Live Action),"Pierre Etaix and J.C. Carrière, Producers",Heureux Anniversaire (Happy Anniversary),OWA0054
1962,1963,SOUND,"Shepperton Studio Sound Department, John Cox, Sound Director",Lawrence of Arabia,OWA0057
1962,1963,SPECIAL EFFECTS,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont,The Longest Day,OWA0033
1962,1963,WRITING (Screenplay--based on material from another medium),Horton Foote,To Kill a Mockingbird,OWA0055
1962,1963,WRITING (Story and Screenplay--written directly for the screen),"Ennio de Concini, Alfredo Giannetti, Pietro Germi",Divorce--Italian Style,OWA0056
1963,1964,ACTOR,Sidney Poitier,Lilies of the Field,OWA0001
1963,1964,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Hud,OWA0025
1963,1964,ACTRESS,Patricia Neal,Hud,OWA0002
1963,1964,ACTRESS IN A SUPPORTING ROLE,Margaret Rutherford,The V.I.P.s,OWA0026
1963,1964,ART DIRECTION (Black-and-White),Gene Callahan,America America,OWA0034
1963,1964,ART DIRECTION (Color),"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer",Cleopatra,OWA0035
1963,1964,CINEMATOGRAPHY (Black-and-White),James Wong Howe,Hud,OWA0031
1963,1964,CINEMATOGRAPHY (Color),Leon Shamroy,Cleopatra,OWA0032
1963,1964,COSTUME DESIGN (Black-and-White),Piero Gherardi,Federico Fellini's 8-1/2,OWA0047
1963,1964,COSTUME DESIGN (Color),"Irene Sharaff, Vittorio Nino Novarese, Renie",Cleopatra,OWA0048
1963,1964,DIRECTING,Tony Richardson,Tom Jones,OWA0012
1963,1964,DOCUMENTARY (Feature),"Robert Hughes, Producer",Robert Frost: A Lover's Quarrel with the World,OWA0044
1963,1964,DOCUMENTARY (Short Subject),"Simon Schiffrin, Producer",Chagall,OWA0037
1963,1964,FILM EDITING,Harold F. Kress,How the West Was Won,OWA0020
1963,1964,FOREIGN LANGUAGE FILM,Italy,Federico Fellini's 8-1/2,OWA0050
1963,1964,MUSIC (Music Score--substantially original),John Addison,Tom Jones,OWA0058
1963,1964,MUSIC (Scoring of Music--adaptation or treatment),Andre Previn,Irma La Douce,OWA0059
1963,1964,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,Papa's Delicate Condition,OWA0022
1963,1964,BEST PICTURE,"Tony Richardson, Producer",Tom Jones,OWA0060
1963,1964,SHORT SUBJECT (Cartoon),"Ernest Pintoff, Producer",The Critic,OWA0016
1963,1964,SHORT SUBJECT (Live Action),"Paul de Roubaix and Marcel Ichac, Producers",An Occurrence at Owl Creek Bridge,OWA0054
1963,1964,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",How the West Was Won,OWA0057
1963,1964,SOUND EFFECTS,Walter G. Elliott,"It's a Mad, Mad, Mad, Mad World",OWA0061
1963,1964,SPECIAL EFFECTS,"Emil Kosa, Jr.",Cleopatra,OWA0033
1963,1964,WRITING (Screenplay--based on material from another medium),John Osborne,Tom Jones,OWA0055
1963,1964,WRITING (Story and Screenplay--written directly for the screen),James R. Webb,How the West Was Won,OWA0056
1964,1965,ACTOR,Rex Harrison,My Fair Lady,OWA0001
1964,1965,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Topkapi,OWA0025
1964,1965,ACTRESS,Julie Andrews,Mary Poppins,OWA0002
1964,1965,ACTRESS IN A SUPPORTING ROLE,Lila Kedrova,Zorba the Greek,OWA0026
1964,1965,ART DIRECTION (Black-and-White),Vassilis Fotopoulos,Zorba the Greek,OWA0034
1964,1965,ART DIRECTION (Color),"Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins",My Fair Lady,OWA0035
1964,1965,CINEMATOGRAPHY (Black-and-White),Walter Lassally,Zorba the Greek,OWA0031
1964,1965,CINEMATOGRAPHY (Color),Harry Stradling,My Fair Lady,OWA0032
1964,1965,COSTUME DESIGN (Black-and-White),Dorothy Jeakins,The Night of the Iguana,OWA0047
1964,1965,COSTUME DESIGN (Color),Cecil Beaton,My Fair Lady,OWA0048
1964,1965,DIRECTING,George Cukor,My Fair Lady,OWA0012
1964,1965,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",Jacques-Yves Cousteau's World without Sun,OWA0044
1964,1965,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",Nine from Little Rock,OWA0037
1964,1965,FILM EDITING,Cotton Warburton,Mary Poppins,OWA0020
1964,1965,FOREIGN LANGUAGE FILM,Italy,"Yesterday, Today and Tomorrow",OWA0050
1964,1965,MUSIC (Music Score--substantially original),"Richard M. Sherman, Robert B. Sherman",Mary Poppins,OWA0058
1964,1965,MUSIC (Scoring of Music--adaptation or treatment),Andre Previn,My Fair Lady,OWA0059
1964,1965,MUSIC (Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,Mary Poppins,OWA0022
1964,1965,BEST PICTURE,"Jack L. Warner, Producer",My Fair Lady,OWA0060
1964,1965,SHORT SUBJECT (Cartoon),"David H. DePatie and Friz Freleng, Producers",The Pink Phink,OWA0016
1964,1965,SHORT SUBJECT (Live Action),"Edward Schreiber, Producer",Casals Conducts: 1964,OWA0054
1964,1965,SOUND,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",My Fair Lady,OWA0057
1964,1965,SOUND EFFECTS,Norman Wanstall,Goldfinger,OWA0061
1964,1965,SPECIAL VISUAL EFFECTS,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske",Mary Poppins,OWA0062
1964,1965,WRITING (Screenplay--based on material from another medium),Edward Anhalt,Becket,OWA0055
1964,1965,WRITING (Story and Screenplay--written directly for the screen),"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff",Father Goose,OWA0056
1965,1966,ACTOR,Lee Marvin,Cat Ballou,OWA0001
1965,1966,ACTOR IN A SUPPORTING ROLE,Martin Balsam,A Thousand Clowns,OWA0025
1965,1966,ACTRESS,Julie Christie,Darling,OWA0002
1965,1966,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,A Patch of Blue,OWA0026
1965,1966,ART DIRECTION (Black-and-White),Art Direction:  Robert Clatworthy;  Set Decoration:  Joseph Kish,Ship of Fools,OWA0034
1965,1966,ART DIRECTION (Color),"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni",Doctor Zhivago,OWA0035
1965,1966,CINEMATOGRAPHY (Black-and-White),Ernest Laszlo,Ship of Fools,OWA0031
1965,1966,CINEMATOGRAPHY (Color),Freddie Young,Doctor Zhivago,OWA0032
1965,1966,COSTUME DESIGN (Black-and-White),Julie Harris,Darling,OWA0047
1965,1966,COSTUME DESIGN (Color),Phyllis Dalton,Doctor Zhivago,OWA0048
1965,1966,DIRECTING,Robert Wise,The Sound of Music,OWA0012
1965,1966,DOCUMENTARY (Feature),"Sidney Glazier, Producer",The Eleanor Roosevelt Story,OWA0044
1965,1966,DOCUMENTARY (Short Subject),"Francis Thompson, Producer",To Be Alive!,OWA0037
1965,1966,FILM EDITING,William Reynolds,The Sound of Music,OWA0020
1965,1966,FOREIGN LANGUAGE FILM,Czechoslovakia,The Shop on Main Street,OWA0050
1965,1966,MUSIC (Music Score--substantially original),Maurice Jarre,Doctor Zhivago,OWA0058
1965,1966,MUSIC (Scoring of Music--adaptation or treatment),Irwin Kostal,The Sound of Music,OWA0059
1965,1966,MUSIC (Song),Music by Johnny Mandel; Lyrics by Paul Francis Webster,The Sandpiper,OWA0022
1965,1966,BEST PICTURE,"Robert Wise, Producer",The Sound of Music,OWA0060
1965,1966,SHORT SUBJECT (Cartoon),"Chuck Jones and Les Goldman, Producers",The Dot and the Line,OWA0016
1965,1966,SHORT SUBJECT (Live Action),"Claude Berri, Producer",The Chicken (Le Poulet),OWA0054
1965,1966,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",The Sound of Music,OWA0057
1965,1966,SOUND EFFECTS,Tregoweth Brown,The Great Race,OWA0061
1965,1966,SPECIAL VISUAL EFFECTS,John Stears,Thunderball,OWA0062
1965,1966,WRITING (Screenplay--based on material from another medium),Robert Bolt,Doctor Zhivago,OWA0055
1965,1966,WRITING (Story and Screenplay--written directly for the screen),Frederic Raphael,Darling,OWA0056
1966,1967,ACTOR,Paul Scofield,A Man for All Seasons,OWA0001
1966,1967,ACTOR IN A SUPPORTING ROLE,Walter Matthau,The Fortune Cookie,OWA0025
1966,1967,ACTRESS,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,OWA0002
1966,1967,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis,Who's Afraid of Virginia Woolf?,OWA0026
1966,1967,ART DIRECTION (Black-and-White),Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins,Who's Afraid of Virginia Woolf?,OWA0034
1966,1967,ART DIRECTION (Color),"Art Direction:  Jack Martin Smith, Dale Hennesy;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Fantastic Voyage,OWA0035
1966,1967,CINEMATOGRAPHY (Black-and-White),Haskell Wexler,Who's Afraid of Virginia Woolf?,OWA0031
1966,1967,CINEMATOGRAPHY (Color),Ted Moore,A Man for All Seasons,OWA0032
1966,1967,COSTUME DESIGN (Black-and-White),Irene Sharaff,Who's Afraid of Virginia Woolf?,OWA0047
1966,1967,COSTUME DESIGN (Color),"Elizabeth Haffenden, Joan Bridge",A Man for All Seasons,OWA0048
1966,1967,DIRECTING,Fred Zinnemann,A Man for All Seasons,OWA0012
1966,1967,DOCUMENTARY (Feature),"Peter Watkins, Producer",The War Game,OWA0044
1966,1967,DOCUMENTARY (Short Subject),"Edmond A. Levy, Producer",A Year toward Tomorrow,OWA0037
1966,1967,FILM EDITING,"Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo",Grand Prix,OWA0020
1966,1967,FOREIGN LANGUAGE FILM,France,A Man and a Woman,OWA0050
1966,1967,MUSIC (Original Music Score),John Barry,Born Free,OWA0063
1966,1967,MUSIC (Scoring of Music--adaptation or treatment),Ken Thorne,A Funny Thing Happened on the Way to the Forum,OWA0059
1966,1967,MUSIC (Song),Music by John Barry; Lyrics by Don Black,Born Free,OWA0022
