,Movie Name,year,status,award,movie
54,Chadwick Boseman,2021,Winner,Best Performance by an Actor in a Motion Picture - Drama,Ma Rainey's Black Bottom
55,Borat Subsequent Moviefilm,2021,Winner,Best Motion Picture - Musical or Comedy,
56,Rosamund Pike,2021,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,I Care A Lot
57,Sacha Baron Cohen,2021,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Borat Subsequent Moviefilm
58,Soul,2021,Winner,Best Motion Picture - Animated,
59,Minari,2021,Winner,Best Motion Picture – Non-English Language,
60,Jodie Foster,2021,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Mauritanian, The"
61,Daniel Kaluuya,2021,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Judas and the Black Messiah
62,Chloé Zhao,2021,Winner,Best Director - Motion Picture,Nomadland
63,Aaron Sorkin,2021,Winner,Best Screenplay - Motion Picture,"Trial of the Chicago 7, The"
64,"Trent Reznor, Atticus Ross, Jon Batiste",2021,Winner,Best Original Score - Motion Picture,Soul
65,1917,2020,Winner,Best Motion Picture - Drama,
66,Renée Zellweger,2020,Winner,Best Performance by an Actress in a Motion Picture - Drama,Judy
67,Awkwafina .,2020,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Farewell, The"
68,Taron Egerton,2020,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rocketman
69,Awkwafina .,2020,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Farewell, The"
70,Taron Egerton,2020,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rocketman
71,Missing Link,2020,Winner,Best Motion Picture - Animated,
72,Parasite,2020,Winner,Best Motion Picture – Non-English Language,
73,Laura Dern,2020,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marriage Story
74,Brad Pitt,2020,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Once Upon a Time...in Hollywood
75,Sam Mendes,2020,Winner,Best Director - Motion Picture,1917
76,Quentin Tarantino,2020,Winner,Best Screenplay - Motion Picture,Once Upon a Time...in Hollywood
77,Hildur Guðnadóttir,2020,Winner,Best Original Score - Motion Picture,Joker
78,I'm Gonna Love Me Again,2020,Winner,Best Original Song - Motion Picture,Rocketman
79,Bohemian Rhapsody,2019,Winner,Best Motion Picture - Drama,
80,Green Book,2019,Winner,Best Motion Picture - Musical or Comedy,
81,Spider-Man: Into the Spider-Verse,2019,Winner,Best Motion Picture - Animated,
82,Roma,2019,Winner,Best Motion Picture – Non-English Language,
83,Glenn Close,2019,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Wife, The"
84,Olivia Colman,2019,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Favourite, The"
85,Christian Bale,2019,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Vice
86,Olivia Colman,2019,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Favourite, The"
87,Christian Bale,2019,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Vice
88,Alfonso Cuarón,2019,Winner,Best Director - Motion Picture,Roma
89,"Nick Vallelonga, Brian Currie, Peter Farrelly",2019,Winner,Best Screenplay - Motion Picture,Green Book
90,Justin Hurwitz,2019,Winner,Best Original Score - Motion Picture,First Man
91,Shallow,2019,Winner,Best Original Song - Motion Picture,"Star Is Born, A (2018)"
92,Justin Hurwitz,2019,Winner,Best Original Score - Motion Picture,First Man
93,Shallow,2019,Winner,Best Original Song - Motion Picture,"Star Is Born, A (2018)"
94,"Three Billboards Outside Ebbing, Missouri",2018,Winner,Best Motion Picture - Drama,
95,Lady Bird,2018,Winner,Best Motion Picture - Musical or Comedy,
96,Coco,2018,Winner,Best Motion Picture - Animated,
97,In The Fade,2018,Winner,Best Motion Picture – Non-English Language,
98,Frances McDormand,2018,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Three Billboards Outside Ebbing, Missouri"
99,Gary Oldman,2018,Winner,Best Performance by an Actor in a Motion Picture - Drama,Darkest Hour
100,Saoirse Ronan,2018,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lady Bird
101,James Franco,2018,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Disaster Artist, The"
102,Gary Oldman,2018,Winner,Best Performance by an Actor in a Motion Picture - Drama,Darkest Hour
103,Saoirse Ronan,2018,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lady Bird
104,James Franco,2018,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Disaster Artist, The"
