,Movie Name,year,status,award,movie
312,A Beautiful Mind,2002,Winner,Best Motion Picture - Drama,
313,Moulin Rouge!,2002,Winner,Best Motion Picture - Musical or Comedy,
314,Craig Armstrong,2002,Winner,Best Original Score - Motion Picture,Moulin Rouge!
315,Robert Altman,2002,Winner,Best Director - Motion Picture,Gosford Park
316,No Man's Land,2002,Winner,Best Motion Picture – Non-English Language,
317,Jennifer Connelly,2002,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,A Beautiful Mind
318,Nicole Kidman,2002,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Moulin Rouge!
319,Gene Hackman,2002,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Royal Tenenbaums, The"
320,Jim Broadbent,2002,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Iris
321,Sissy Spacek,2002,Winner,Best Performance by an Actress in a Motion Picture - Drama,In the Bedroom
322,"""Until…""",2002,Winner,Best Original Song - Motion Picture,Kate & Leopold
323,Tom Hanks,2001,Winner,Best Performance by an Actor in a Motion Picture - Drama,Cast Away
324,Stephen Gaghan,2001,Winner,Best Screenplay - Motion Picture,Traffic
325,Gladiator,2001,Winner,Best Motion Picture - Drama,
326,Almost Famous,2001,Winner,Best Motion Picture - Musical or Comedy,
327,Lisa Gerrard,2001,Winner,Best Original Score - Motion Picture,Gladiator
328,Ang Lee,2001,Winner,Best Director - Motion Picture,"Crouching Tiger, Hidden Dragon"
329,"Crouching Tiger, Hidden Dragon",2001,Winner,Best Motion Picture – Non-English Language,
330,Kate Hudson,2001,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Almost Famous
331,Renée Zellweger,2001,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nurse Betty
332,Renée Zellweger,2001,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nurse Betty
333,Benicio del Toro,2001,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Traffic
334,Julia Roberts,2001,Winner,Best Performance by an Actress in a Motion Picture - Drama,Erin Brockovich
335,Hans Zimmer,2001,Winner,Best Original Score - Motion Picture,Gladiator
336,"""Things Have Changed""",2001,Winner,Best Original Song - Motion Picture,Wonder Boys
337,Denzel Washington,2000,Winner,Best Performance by an Actor in a Motion Picture - Drama,"Hurricane, The"
338,Alan Ball,2000,Winner,Best Screenplay - Motion Picture,American Beauty
339,American Beauty,2000,Winner,Best Motion Picture - Drama,
340,Toy Story 2,2000,Winner,Best Motion Picture - Musical or Comedy,
341,Ennio Morricone,2000,Winner,Best Original Score - Motion Picture,The Legend of 1900
342,Sam Mendes,2000,Winner,Best Director - Motion Picture,American Beauty
343,All About My Mother,2000,Winner,Best Motion Picture – Non-English Language,
344,Sam Mendes,2000,Winner,Best Director - Motion Picture,American Beauty
345,All About My Mother,2000,Winner,Best Motion Picture – Non-English Language,
346,Janet McTeer,2000,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Tumbleweeds
347,Janet McTeer,2000,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Tumbleweeds
348,Tom Cruise,2000,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Magnolia
349,Hilary Swank,2000,Winner,Best Performance by an Actress in a Motion Picture - Drama,Boys Don't Cry
350,"""You'll Be In My Heart""",2000,Winner,Best Original Song - Motion Picture,Tarzan
351,Jim Carrey,1999,Winner,Best Performance by an Actor in a Motion Picture - Drama,The Truman Show
352,Marc Norman,1999,Winner,Best Screenplay - Motion Picture,Shakespeare in Love
353,Saving Private Ryan,1999,Winner,Best Motion Picture - Drama,
354,Shakespeare in Love,1999,Winner,Best Motion Picture - Musical or Comedy,
355,"Burkhard Dallwitz, Philip Glass",1999,Winner,Best Original Score - Motion Picture,The Truman Show
356,Steven Spielberg,1999,Winner,Best Director - Motion Picture,Saving Private Ryan
357,Central Station,1999,Winner,Best Motion Picture – Non-English Language,
358,Lynn Redgrave,1999,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gods and Monsters
359,Lynn Redgrave,1999,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gods and Monsters
360,Gwyneth Paltrow,1999,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shakespeare in Love
361,Gwyneth Paltrow,1999,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shakespeare in Love
362,Ed Harris,1999,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Truman Show
363,Cate Blanchett,1999,Winner,Best Performance by an Actress in a Motion Picture - Drama,Elizabeth
364,"""The Prayer""",1999,Winner,Best Original Song - Motion Picture,Quest For Camelot: The Magic Sword
365,Peter Fonda,1998,Winner,Best Performance by an Actor in a Motion Picture - Drama,Ulee's Gold
366,"Ben Affleck, Matt Damon",1998,Winner,Best Screenplay - Motion Picture,Good Will Hunting
367,Titanic,1998,Winner,Best Motion Picture - Drama,
368,As Good as It Gets,1998,Winner,Best Motion Picture - Musical or Comedy,
369,James Horner,1998,Winner,Best Original Score - Motion Picture,Titanic
370,James Cameron,1998,Winner,Best Director - Motion Picture,Titanic
371,Ma Vie en Rose,1998,Winner,Best Motion Picture – Non-English Language,
372,Kim Basinger,1998,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,L.A. Confidential
373,Helen Hunt,1998,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,As Good as It Gets
374,Helen Hunt,1998,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,As Good as It Gets
375,Burt Reynolds,1998,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Boogie Nights
376,Burt Reynolds,1998,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Boogie Nights
377,Judi Dench,1998,Winner,Best Performance by an Actress in a Motion Picture - Drama,Mrs. Brown
378,Judi Dench,1998,Winner,Best Performance by an Actress in a Motion Picture - Drama,Mrs. Brown
379,Judi Dench,1998,Winner,Best Performance by an Actress in a Motion Picture - Drama,Mrs. Brown
380,Scott Alexander,1997,Winner,Best Screenplay - Motion Picture,"People vs. Larry Flynt, The"
381,Scott Alexander,1997,Winner,Best Screenplay - Motion Picture,"People vs. Larry Flynt, The"
382,Gabriel Yared,1997,Winner,Best Original Score - Motion Picture,The English Patient
383,Milos Forman,1997,Winner,Best Director - Motion Picture,"People vs. Larry Flynt, The"
384,Kolya,1997,Winner,Best Motion Picture – Non-English Language,
385,Lauren Bacall,1997,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Mirror Has Two Faces
386,Madonna,1997,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Evita
387,Tom Cruise,1997,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jerry Maguire
388,Tom Cruise,1997,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jerry Maguire
389,Brenda Blethyn,1997,Winner,Best Performance by an Actress in a Motion Picture - Drama,Secrets & Lies
390,"""You Must Love Me""",1997,Winner,Best Original Song - Motion Picture,Evita
391,Larry Karaszewski,1997,Winner,Best Screenplay - Motion Picture,"People vs. Larry Flynt, The"
392,Nicolas Cage,1996,Winner,Best Performance by an Actor in a Motion Picture - Drama,Leaving Las Vegas
393,Emma Thompson,1996,Winner,Best Screenplay - Motion Picture,Sense and Sensibility
394,Sense and Sensibility,1996,Winner,Best Motion Picture - Drama,
395,Babe,1996,Winner,Best Motion Picture - Musical or Comedy,
396,Maurice Jarre,1996,Winner,Best Original Score - Motion Picture,A Walk in the Clouds
397,Babe,1996,Winner,Best Motion Picture - Musical or Comedy,
398,Maurice Jarre,1996,Winner,Best Original Score - Motion Picture,A Walk in the Clouds
399,Mira Sorvino,1996,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mighty Aphrodite
400,Nicole Kidman,1996,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,To Die For
401,John Travolta,1996,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Get Shorty
402,Brad Pitt,1996,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Twelve Monkeys
403,Sharon Stone,1996,Winner,Best Performance by an Actress in a Motion Picture - Drama,Casino
404,Sharon Stone,1996,Winner,Best Performance by an Actress in a Motion Picture - Drama,Casino
405,Colors of the Wind,1996,Winner,Best Original Song - Motion Picture,Pocahontas
406,Tom Hanks,1995,Winner,Best Performance by an Actor in a Motion Picture - Drama,Forrest Gump
407,Quentin Tarantino,1995,Winner,Best Screenplay - Motion Picture,Pulp Fiction
408,Forrest Gump,1995,Winner,Best Motion Picture - Drama,
409,The Lion King (1994),1995,Winner,Best Motion Picture - Musical or Comedy,
410,Hans Zimmer,1995,Winner,Best Original Score - Motion Picture,The Lion King (1994)
411,Robert Zemeckis,1995,Winner,Best Director - Motion Picture,Forrest Gump
412,Farinelli,1995,Winner,Best Motion Picture – Non-English Language,
413,Dianne Wiest,1995,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Bullets Over Broadway
414,Jamie Lee Curtis,1995,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,True Lies
415,Hugh Grant,1995,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Four Weddings and a Funeral
416,Martin Landau,1995,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Wood
417,Jessica Lange,1995,Winner,Best Performance by an Actress in a Motion Picture - Drama,Blue Sky
418,Can You Feel the Love Tonight?,1995,Winner,Best Original Song - Motion Picture,The Lion King (1994)
419,Tom Hanks,1994,Winner,Best Performance by an Actor in a Motion Picture - Drama,Philadelphia
420,Tom Hanks,1994,Winner,Best Performance by an Actor in a Motion Picture - Drama,Philadelphia
421,Schindler's List,1994,Winner,Best Motion Picture - Drama,
422,Mrs. Doubtfire,1994,Winner,Best Motion Picture - Musical or Comedy,
423,Kitarô Kitarô,1994,Winner,Best Original Score - Motion Picture,Heaven & Earth
424,Steven Spielberg,1994,Winner,Best Director - Motion Picture,Schindler's List
425,Farewell My Concubine,1994,Winner,Best Motion Picture – Non-English Language,
426,Winona Ryder,1994,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Age of Innocence, The"
427,Angela Bassett,1994,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,What's Love Got To Do With It
428,Robin Williams,1994,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mrs. Doubtfire
429,Tommy Lee Jones,1994,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Fugitive, The"
430,Holly Hunter,1994,Winner,Best Performance by an Actress in a Motion Picture - Drama,The Piano
431,Streets of Philadelphia,1994,Winner,Best Original Song - Motion Picture,Philadelphia
432,Al Pacino,1993,Winner,Best Performance by an Actor in a Motion Picture - Drama,Scent of a Woman
433,Bo Goldman,1993,Winner,Best Screenplay - Motion Picture,Scent of a Woman
434,Robin Williams,1993,Winner,Special Achievement Award,Aladdin
435,Scent of a Woman,1993,Winner,Best Motion Picture - Drama,
436,"Player, The",1993,Winner,Best Motion Picture - Musical or Comedy,
437,Alan Menken,1993,Winner,Best Original Score - Motion Picture,Aladdin
438,Clint Eastwood,1993,Winner,Best Director - Motion Picture,Unforgiven
439,Indochine,1993,Winner,Best Motion Picture – Non-English Language,
440,Joan Plowright,1993,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Enchanted April
441,Miranda Richardson,1993,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Enchanted April
442,Tim Robbins,1993,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Player, The"
443,Gene Hackman,1993,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Unforgiven
444,Emma Thompson,1993,Winner,Best Performance by an Actress in a Motion Picture - Drama,Howards End
445,A Whole New World,1993,Winner,Best Original Song - Motion Picture,Aladdin
446,Nick Nolte,1992,Winner,Best Performance by an Actor in a Motion Picture - Drama,"Prince of Tides, The"
447,Nick Nolte,1992,Winner,Best Performance by an Actor in a Motion Picture - Drama,"Prince of Tides, The"
448,Bugsy,1992,Winner,Best Motion Picture - Drama,
449,Beauty and the Beast,1992,Winner,Best Motion Picture - Musical or Comedy,
450,Alan Menken,1992,Winner,Best Original Score - Motion Picture,Beauty and the Beast
451,Oliver Stone,1992,Winner,Best Director - Motion Picture,JFK
452,Alan Menken,1992,Winner,Best Original Score - Motion Picture,Beauty and the Beast
453,Oliver Stone,1992,Winner,Best Director - Motion Picture,JFK
454,Mercedes Ruehl,1992,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Fisher King, The"
455,Bette Midler,1992,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,For The Boys
456,Robin Williams,1992,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Fisher King, The"
457,Jack Palance,1992,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,City Slickers
458,Jodie Foster,1992,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Silence of the Lambs, The"
459,Jeremy Irons,1991,Winner,Best Performance by an Actor in a Motion Picture - Drama,Reversal of Fortune
460,Michael Blake,1991,Winner,Best Screenplay - Motion Picture,Dances with Wolves
461,Dances with Wolves,1991,Winner,Best Motion Picture - Drama,
462,Green Card,1991,Winner,Best Motion Picture - Musical or Comedy,
463,"Richard Horowitz, Ryuichi Sakamoto",1991,Winner,Best Original Score - Motion Picture,"Sheltering Sky, The"
464,Kevin Costner,1991,Winner,Best Director - Motion Picture,Dances with Wolves
465,Cyrano De Bergerac (1990),1991,Winner,Best Motion Picture – Non-English Language,
466,Whoopi Goldberg,1991,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ghost
467,Julia Roberts,1991,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pretty Woman
468,Julia Roberts,1991,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pretty Woman
469,Bruce Davison,1991,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Longtime Companion
470,Kathy Bates,1991,Winner,Best Performance by an Actress in a Motion Picture - Drama,Misery
471,Tom Cruise,1990,Winner,Best Performance by an Actor in a Motion Picture - Drama,Born on the Fourth of July
472,Born on the Fourth of July,1990,Winner,Best Motion Picture - Drama,
473,Driving Miss Daisy,1990,Winner,Best Motion Picture - Musical or Comedy,
474,Alan Menken,1990,Winner,Best Original Score - Motion Picture,"Little Mermaid, The"
475,Oliver Stone,1990,Winner,Best Director - Motion Picture,Born on the Fourth of July
476,Alan Menken,1990,Winner,Best Original Score - Motion Picture,"Little Mermaid, The"
477,Oliver Stone,1990,Winner,Best Director - Motion Picture,Born on the Fourth of July
478,Cinema Paradiso,1990,Winner,Best Motion Picture – Non-English Language,
479,Julia Roberts,1990,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Steel Magnolias
480,Jessica Tandy,1990,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Driving Miss Daisy
481,Morgan Freeman,1990,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Driving Miss Daisy
482,Denzel Washington,1990,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Glory
483,Michelle Pfeiffer,1990,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Fabulous Baker Boys, The"
484,"Oliver Stone, Ron Kovic",1990,Winner,Best Screenplay - Motion Picture,Born on the Fourth of July
485,Dustin Hoffman,1989,Winner,Best Performance by an Actor in a Motion Picture - Drama,Rain Man
486,Naomi Foner,1989,Winner,Best Screenplay - Motion Picture,Running on Empty
487,Rain Man,1989,Winner,Best Motion Picture - Drama,
488,Working Girl,1989,Winner,Best Motion Picture - Musical or Comedy,
489,Maurice Jarre,1989,Winner,Best Original Score - Motion Picture,Gorillas in the Mist: The Adventure of Dian Fossey
490,Maurice Jarre,1989,Winner,Best Original Score - Motion Picture,Gorillas in the Mist: The Adventure of Dian Fossey
491,Sigourney Weaver,1989,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Working Girl
492,Tom Hanks,1989,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Big
493,Martin Landau,1989,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tucker: The Man and His Dream
494,Jodie Foster,1989,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Accused, The"
495,Shirley MacLaine,1989,Winner,Best Performance by an Actress in a Motion Picture - Drama,Madame Sousatzka
496,Sigourney Weaver,1989,Winner,Best Performance by an Actress in a Motion Picture - Drama,Gorillas in the Mist: The Adventure of Dian Fossey
497,Michael Douglas,1988,Winner,Best Performance by an Actor in a Motion Picture - Drama,Wall Street
498,Bernardo Bertolucci,1988,Winner,Best Screenplay - Motion Picture,"Last Emperor, The"
499,"Last Emperor, The",1988,Winner,Best Motion Picture - Drama,
500,Hope and Glory,1988,Winner,Best Motion Picture - Musical or Comedy,
501,"David Byrne, Ryuichi Sakamoto, Cong Su",1988,Winner,Best Original Score - Motion Picture,"Last Emperor, The"
502,Bernardo Bertolucci,1988,Winner,Best Director - Motion Picture,"Last Emperor, The"
503,My Life as a Dog,1988,Winner,Best Motion Picture – Non-English Language,
504,Olympia Dukakis,1988,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Moonstruck
505,Olympia Dukakis,1988,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Moonstruck
506,Robin Williams,1988,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Good Morning, Vietnam"
507,Sean Connery,1988,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Untouchables, The"
508,Sally Kirkland,1988,Winner,Best Performance by an Actress in a Motion Picture - Drama,Anna
509,(I've Had) The Time of My Life,1988,Winner,Best Original Song - Motion Picture,Dirty Dancing
510,Bob Hoskins,1987,Winner,Best Performance by an Actor in a Motion Picture - Drama,Mona Lisa
511,Robert Bolt,1987,Winner,Best Screenplay - Motion Picture,"Mission, The"
512,Platoon,1987,Winner,Best Motion Picture - Drama,
513,Hannah and Her Sisters,1987,Winner,Best Motion Picture - Musical or Comedy,
514,Ennio Morricone,1987,Winner,Best Original Score - Motion Picture,"Mission, The"
515,Ennio Morricone,1987,Winner,Best Original Score - Motion Picture,"Mission, The"
516,Sissy Spacek,1987,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Crimes of the Heart
517,Sissy Spacek,1987,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Crimes of the Heart
518,Tom Berenger,1987,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Platoon
519,Marlee Matlin,1987,Winner,Best Performance by an Actress in a Motion Picture - Drama,Children of a Lesser God
520,Take My Breath Away,1987,Winner,Best Original Song - Motion Picture,Top Gun
521,Take My Breath Away,1987,Winner,Best Original Song - Motion Picture,Top Gun
522,Woody Allen,1986,Winner,Best Screenplay - Motion Picture,"Purple Rose of Cairo, The"
523,Out of Africa,1986,Winner,Best Motion Picture - Drama,
524,Prizzi's Honor,1986,Winner,Best Motion Picture - Musical or Comedy,
525,Prizzi's Honor,1986,Winner,Best Motion Picture - Musical or Comedy,
526,Prizzi's Honor,1986,Winner,Best Motion Picture - Musical or Comedy,
527,"Official Story, The",1986,Winner,Best Motion Picture – Non-English Language,
528,Meg Tilly,1986,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes of God
529,"Official Story, The",1986,Winner,Best Motion Picture – Non-English Language,
530,Meg Tilly,1986,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes of God
531,Kathleen Turner,1986,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Prizzi's Honor
532,Jack Nicholson,1986,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Prizzi's Honor
533,Klaus Maria Brandauer,1986,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Out of Africa
534,Whoopi Goldberg,1986,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Color Purple, The"
535,Whoopi Goldberg,1986,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Color Purple, The"
536,F. Murray Abraham,1985,Winner,Best Performance by an Actor in a Motion Picture - Drama,Amadeus
537,Peter Shaffer,1985,Winner,Best Screenplay - Motion Picture,Amadeus
538,Amadeus,1985,Winner,Best Motion Picture - Drama,
539,Romancing the Stone,1985,Winner,Best Motion Picture - Musical or Comedy,
540,Maurice Jarre,1985,Winner,Best Original Score - Motion Picture,"Passage to India, A"
541,Milos Forman,1985,Winner,Best Director - Motion Picture,Amadeus
542,"Passage to India, A",1985,Winner,Best Motion Picture – Non-English Language,
543,Peggy Ashcroft,1985,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Passage to India, A"
544,Peggy Ashcroft,1985,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Passage to India, A"
545,Dudley Moore,1985,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Micki & Maude
546,Haing S. Ngor,1985,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Killing Fields, The"
547,Sally Field,1985,Winner,Best Performance by an Actress in a Motion Picture - Drama,Places in the Heart
548,I Just Called To Say I Love You,1985,Winner,Best Original Song - Motion Picture,"Woman in Red, The"
549,Tom Courtenay,1984,Winner,Best Performance by an Actor in a Motion Picture - Drama,The Dresser
550,Robert Duvall,1984,Winner,Best Performance by an Actor in a Motion Picture - Drama,Tender Mercies
551,Robert Duvall,1984,Winner,Best Performance by an Actor in a Motion Picture - Drama,Tender Mercies
552,Terms of Endearment,1984,Winner,Best Motion Picture - Drama,
553,Yentl,1984,Winner,Best Motion Picture - Musical or Comedy,
554,Giorgio Moroder,1984,Winner,Best Original Score - Motion Picture,Flashdance
555,Barbra Streisand,1984,Winner,Best Director - Motion Picture,Yentl
556,Fanny & Alexander,1984,Winner,Best Motion Picture – Non-English Language,
557,Cher,1984,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Silkwood
558,Julie Walters,1984,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Educating Rita
559,Michael Caine,1984,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Educating Rita
560,Jack Nicholson,1984,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Terms of Endearment
561,Shirley MacLaine,1984,Winner,Best Performance by an Actress in a Motion Picture - Drama,Terms of Endearment
562,Flashdance… What a Feeling,1984,Winner,Best Original Song - Motion Picture,Flashdance
563,Ben Kingsley,1983,Winner,Best Performance by an Actor in a Motion Picture - Drama,Gandhi
564,John Briley,1983,Winner,Best Screenplay - Motion Picture,Gandhi
565,John Briley,1983,Winner,Best Screenplay - Motion Picture,Gandhi
566,Sandahl Bergman,1983,Winner,New Star Of The Year - Actress,Conan the Barbarian
567,Ben Kingsley,1983,Winner,New Star Of The Year - Actor,Gandhi
568,John Williams,1983,Winner,Best Original Score - Motion Picture,E. T. The Extra-Terrestrial
569,Richard Attenborough,1983,Winner,Best Director - Motion Picture,Gandhi
570,Gandhi,1983,Winner,Best Motion Picture – Non-English Language,
571,Richard Attenborough,1983,Winner,Best Director - Motion Picture,Gandhi
572,Gandhi,1983,Winner,Best Motion Picture – Non-English Language,
573,Julie Andrews,1983,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Victor Victoria
574,Dustin Hoffman,1983,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tootsie
575,Louis Gossett Jr.,1983,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Officer and a Gentleman, An"
576,Meryl Streep,1983,Winner,Best Performance by an Actress in a Motion Picture - Drama,Sophie's Choice
577,Up Where We Belong,1983,Winner,Best Original Song - Motion Picture,"Officer and a Gentleman, An"
578,Henry Fonda,1982,Winner,Best Performance by an Actor in a Motion Picture - Drama,On Golden Pond
579,Henry Fonda,1982,Winner,Best Performance by an Actor in a Motion Picture - Drama,On Golden Pond
580,On Golden Pond,1982,Winner,Best Motion Picture - Drama,
581,Arthur,1982,Winner,Best Motion Picture - Musical or Comedy,
582,Warren Beatty,1982,Winner,Best Director - Motion Picture,Reds
583,Chariots of Fire,1982,Winner,Best Motion Picture – Non-English Language,
584,Pia Zadora,1982,Winner,New Star Of The Year,Butterfly
585,Joan Hackett,1982,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Only When I Laugh
586,Bernadette Peters,1982,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pennies from Heaven
587,Dudley Moore,1982,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Arthur
588,John Gielgud,1982,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Arthur
589,Meryl Streep,1982,Winner,Best Performance by an Actress in a Motion Picture - Drama,"French Lieutenant's Woman, The"
590,Arthur's Theme (Best That You Can Do),1982,Winner,Best Original Song - Motion Picture,Arthur
591,Robert De Niro,1981,Winner,Best Performance by an Actor in a Motion Picture - Drama,Raging Bull
592,William Peter Blatty,1981,Winner,Best Screenplay - Motion Picture,"Ninth Configuration, The"
593,Ordinary People,1981,Winner,Best Motion Picture - Drama,
594,Coal Miner's Daughter,1981,Winner,Best Motion Picture - Musical or Comedy,
595,Nastassja Kinski,1981,Winner,New Star Of The Year - Actress,Tess
596,Timothy Hutton,1981,Winner,New Star Of The Year - Actor,Ordinary People
597,Dominic Frontiere,1981,Winner,Best Original Score - Motion Picture,"Stunt Man, The"
598,Timothy Hutton,1981,Winner,New Star Of The Year - Actor,Ordinary People
599,Dominic Frontiere,1981,Winner,Best Original Score - Motion Picture,"Stunt Man, The"
600,Mary Steenburgen,1981,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Melvin and Howard
601,Sissy Spacek,1981,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Coal Miner's Daughter
602,Sissy Spacek,1981,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Coal Miner's Daughter
603,Timothy Hutton,1981,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ordinary People
604,Mary Tyler Moore,1981,Winner,Best Performance by an Actress in a Motion Picture - Drama,Ordinary People
605,Mary Tyler Moore,1981,Winner,Best Performance by an Actress in a Motion Picture - Drama,Ordinary People
606,Fame,1981,Winner,Best Original Song - Motion Picture,Fame
607,Dustin Hoffman,1980,Winner,Best Performance by an Actor in a Motion Picture - Drama,Kramer vs. Kramer
608,Dustin Hoffman,1980,Winner,Best Performance by an Actor in a Motion Picture - Drama,Kramer vs. Kramer
609,Kramer vs. Kramer,1980,Winner,Best Motion Picture - Drama,
610,Breaking Away,1980,Winner,Best Motion Picture - Musical or Comedy,
611,Bette Midler,1980,Winner,New Star Of The Year - Actress,"Rose, The"
612,Ricky/Rick Schroder,1980,Winner,New Star Of The Year - Actor,"Champ, The"
613,Carmine Coppola,1980,Winner,Best Original Score - Motion Picture,Apocalypse Now
614,Francis Ford Coppola,1980,Winner,Best Director - Motion Picture,Apocalypse Now
615,"Cage aux Folles, La",1980,Winner,Best Motion Picture – Non-English Language,
616,Jane Fonda,1980,Winner,World Film Favorites,
617,Roger Moore,1980,Winner,World Film Favorites,
618,Meryl Streep,1980,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kramer vs. Kramer
619,Bette Midler,1980,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Rose, The"
620,Bette Midler,1980,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Rose, The"
621,Peter Sellers,1980,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Being There
622,Melvyn Douglas,1980,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Being There
623,Robert Duvall,1980,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Apocalypse Now
