Movie_ID,Movie_Name,Oscar_Award_ID,GG_Award_ID
2098,My Fair Lady,OWA0057,GG011
2098,My Fair Lady,OWA0057,GG006
2099,Topkapi,OWA0025,
2100,Zorba the Greek,OWA0026,
2100,Zorba the Greek,OWA0034,
2100,Zorba the Greek,OWA0031,
2101,The Night of the Iguana,OWA0047,
2102,Jacques-Yves Cousteau's World without Sun,OWA0044,
2103,Nine from Little Rock,OWA0037,
2104,"Yesterday, Today and Tomorrow",OWA0050,GG024
2105,The Pink Phink,OWA0016,
2106,Casals Conducts: 1964,OWA0054,
2107,Becket,OWA0055,
2108,Father Goose,OWA0056,
2109,Cat Ballou,OWA0001,GG006
2110,A Thousand Clowns,OWA0025,
2111,Darling,OWA0002,GG021
2111,Darling,OWA0047,GG021
2111,Darling,OWA0056,GG021
2112,A Patch of Blue,OWA0026,GG016
2113,Ship of Fools,OWA0034,
2113,Ship of Fools,OWA0031,
2114,The Eleanor Roosevelt Story,OWA0044,
2115,To Be Alive!,OWA0037,
2116,The Shop on Main Street,OWA0050,
2117,The Sandpiper,OWA0022,
2118,The Dot and the Line,OWA0016,
2119,The Chicken (Le Poulet),OWA0054,
2120,The Great Race,OWA0061,
2121,Thunderball,OWA0062,
2122,A Man for All Seasons,OWA0001,GG003
2122,A Man for All Seasons,OWA0001,GG001
2122,A Man for All Seasons,OWA0001,GG011
2122,A Man for All Seasons,OWA0032,GG003
2122,A Man for All Seasons,OWA0032,GG001
2122,A Man for All Seasons,OWA0032,GG011
2122,A Man for All Seasons,OWA0048,GG003
2122,A Man for All Seasons,OWA0048,GG001
2122,A Man for All Seasons,OWA0048,GG011
2122,A Man for All Seasons,OWA0012,GG003
2122,A Man for All Seasons,OWA0012,GG001
2122,A Man for All Seasons,OWA0012,GG011
2122,A Man for All Seasons,OWA0060,GG003
2122,A Man for All Seasons,OWA0060,GG001
2122,A Man for All Seasons,OWA0060,GG011
2122,A Man for All Seasons,OWA0055,GG003
2122,A Man for All Seasons,OWA0055,GG001
2122,A Man for All Seasons,OWA0055,GG011
2123,The Fortune Cookie,OWA0025,
2124,Who's Afraid of Virginia Woolf?,OWA0002,
2124,Who's Afraid of Virginia Woolf?,OWA0026,
2124,Who's Afraid of Virginia Woolf?,OWA0034,
2124,Who's Afraid of Virginia Woolf?,OWA0031,
2124,Who's Afraid of Virginia Woolf?,OWA0047,
2125,Fantastic Voyage,OWA0035,
2125,Fantastic Voyage,OWA0062,
2126,The War Game,OWA0044,
2127,A Year toward Tomorrow,OWA0037,
2128,Grand Prix,OWA0020,
2128,Grand Prix,OWA0057,
2128,Grand Prix,OWA0061,
2129,A Man and a Woman,OWA0050,
2129,A Man and a Woman,OWA0056,
2130,Born Free,OWA0063,
2130,Born Free,OWA0022,
2131,A Funny Thing Happened on the Way to the Forum,OWA0059,
2132,Herb Alpert and the Tijuana Brass Double Feature,OWA0016,
2133,Wild Wings,OWA0054,
2134,In the Heat of the Night,OWA0001,GG003
2134,In the Heat of the Night,OWA0001,GG001
2134,In the Heat of the Night,OWA0020,GG003
2134,In the Heat of the Night,OWA0020,GG001
2134,In the Heat of the Night,OWA0060,GG003
2134,In the Heat of the Night,OWA0060,GG001
2134,In the Heat of the Night,OWA0057,GG003
2134,In the Heat of the Night,OWA0057,GG001
2134,In the Heat of the Night,OWA0055,GG003
2134,In the Heat of the Night,OWA0055,GG001
2135,Cool Hand Luke,OWA0025,
2136,Guess Who's Coming to Dinner,OWA0002,
2136,Guess Who's Coming to Dinner,OWA0056,
2137,Camelot,OWA0003,GG013
2137,Camelot,OWA0003,GG006
2137,Camelot,OWA0003,GG014
2137,Camelot,OWA0053,GG013
2137,Camelot,OWA0053,GG006
2137,Camelot,OWA0053,GG014
2137,Camelot,OWA0059,GG013
2137,Camelot,OWA0059,GG006
2137,Camelot,OWA0059,GG014
2138,The Anderson Platoon,OWA0044,
2139,The Redwoods,OWA0037,
2140,Closely Watched Trains,OWA0050,
2141,Thoroughly Modern Millie,OWA0063,GG009
2142,Doctor Dolittle,OWA0022,GG010
2142,Doctor Dolittle,OWA0062,GG010
2143,The Box,OWA0016,
2144,A Place to Stand,OWA0054,
2145,Charly,OWA0001,GG012
2146,The Subject Was Roses,OWA0025,
2147,The Lion in Winter,OWA0002,GG003
2147,The Lion in Winter,OWA0002,GG001
2147,The Lion in Winter,OWA0064,GG003
2147,The Lion in Winter,OWA0064,GG001
2147,The Lion in Winter,OWA0055,GG003
2147,The Lion in Winter,OWA0055,GG001
2148,Funny Girl,OWA0002,GG023
2149,Oliver!,OWA0003,GG004
2149,Oliver!,OWA0003,GG006
2149,Oliver!,OWA0012,GG004
2149,Oliver!,OWA0012,GG006
2149,Oliver!,OWA0065,GG004
2149,Oliver!,OWA0065,GG006
2149,Oliver!,OWA0060,GG004
2149,Oliver!,OWA0060,GG006
