Movie Name,Year Ceremony,Oscar Award,Oscar Winner,Year,Golden Globe Award,GG Winer
Jacques-Yves Cousteau's World without Sun,1965,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",0,,
Nine from Little Rock,1965,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",0,,
"Yesterday, Today and Tomorrow",1965,FOREIGN LANGUAGE FILM,Italy,1964,Samuel Goldwyn International Award,"Yesterday, Today and Tomorrow"
The Pink Phink,1965,SHORT SUBJECT (Cartoon),"David H. DePatie and Friz Freleng, Producers",0,,
Casals Conducts: 1964,1965,SHORT SUBJECT (Live Action),"Edward Schreiber, Producer",0,,
Goldfinger,1965,SOUND EFFECTS,Norman Wanstall,0,,
Becket,1965,WRITING (Screenplay--based on material from another medium),Edward Anhalt,0,,
Father Goose,1965,WRITING (Story and Screenplay--written directly for the screen),"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff",0,,
Cat Ballou,1966,ACTOR,Lee Marvin,1966,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lee Marvin
A Thousand Clowns,1966,ACTOR IN A SUPPORTING ROLE,Martin Balsam,0,,
Darling,1966,ACTRESS,Julie Christie,1966,Foreign Film - English Language,Darling
Darling,1966,COSTUME DESIGN (Black-and-White),Julie Harris,1966,Foreign Film - English Language,Darling
Darling,1966,WRITING (Story and Screenplay--written directly for the screen),Frederic Raphael,1966,Foreign Film - English Language,Darling
A Patch of Blue,1966,ACTRESS IN A SUPPORTING ROLE,Shelley Winters,1966,New Star Of The Year - Actress,Elizabeth Hartman
Ship of Fools,1966,ART DIRECTION (Black-and-White),Art Direction:  Robert Clatworthy;  Set Decoration:  Joseph Kish,0,,
Ship of Fools,1966,CINEMATOGRAPHY (Black-and-White),Ernest Laszlo,0,,
Doctor Zhivago,1966,ART DIRECTION (Color),"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni",1966,Best Motion Picture - Drama,Doctor Zhivago
Doctor Zhivago,1966,ART DIRECTION (Color),"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni",1966,Best Director - Motion Picture,David Lean
Doctor Zhivago,1966,CINEMATOGRAPHY (Color),Freddie Young,1966,Best Motion Picture - Drama,Doctor Zhivago
Doctor Zhivago,1966,CINEMATOGRAPHY (Color),Freddie Young,1966,Best Director - Motion Picture,David Lean
Doctor Zhivago,1966,COSTUME DESIGN (Color),Phyllis Dalton,1966,Best Motion Picture - Drama,Doctor Zhivago
Doctor Zhivago,1966,COSTUME DESIGN (Color),Phyllis Dalton,1966,Best Director - Motion Picture,David Lean
Doctor Zhivago,1966,MUSIC (Music Score--substantially original),Maurice Jarre,1966,Best Motion Picture - Drama,Doctor Zhivago
Doctor Zhivago,1966,MUSIC (Music Score--substantially original),Maurice Jarre,1966,Best Director - Motion Picture,David Lean
Doctor Zhivago,1966,WRITING (Screenplay--based on material from another medium),Robert Bolt,1966,Best Motion Picture - Drama,Doctor Zhivago
Doctor Zhivago,1966,WRITING (Screenplay--based on material from another medium),Robert Bolt,1966,Best Director - Motion Picture,David Lean
The Sound of Music,1966,DIRECTING,Robert Wise,1966,Best Motion Picture - Musical or Comedy,"Sound of Music, The"
The Sound of Music,1966,DIRECTING,Robert Wise,1966,Actress In A Leading Role - Musical Or Comedy,Julie Andrews
The Sound of Music,1966,FILM EDITING,William Reynolds,1966,Best Motion Picture - Musical or Comedy,"Sound of Music, The"
The Sound of Music,1966,FILM EDITING,William Reynolds,1966,Actress In A Leading Role - Musical Or Comedy,Julie Andrews
The Sound of Music,1966,MUSIC (Scoring of Music--adaptation or treatment),Irwin Kostal,1966,Best Motion Picture - Musical or Comedy,"Sound of Music, The"
The Sound of Music,1966,MUSIC (Scoring of Music--adaptation or treatment),Irwin Kostal,1966,Actress In A Leading Role - Musical Or Comedy,Julie Andrews
The Sound of Music,1966,BEST PICTURE,"Robert Wise, Producer",1966,Best Motion Picture - Musical or Comedy,"Sound of Music, The"
The Sound of Music,1966,BEST PICTURE,"Robert Wise, Producer",1966,Actress In A Leading Role - Musical Or Comedy,Julie Andrews
The Sound of Music,1966,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",1966,Best Motion Picture - Musical or Comedy,"Sound of Music, The"
The Sound of Music,1966,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",1966,Actress In A Leading Role - Musical Or Comedy,Julie Andrews
The Eleanor Roosevelt Story,1966,DOCUMENTARY (Feature),"Sidney Glazier, Producer",0,,
To Be Alive!,1966,DOCUMENTARY (Short Subject),"Francis Thompson, Producer",0,,
The Shop on Main Street,1966,FOREIGN LANGUAGE FILM,Czechoslovakia,0,,
The Sandpiper,1966,MUSIC (Song),Music by Johnny Mandel; Lyrics by Paul Francis Webster,0,,
The Dot and the Line,1966,SHORT SUBJECT (Cartoon),"Chuck Jones and Les Goldman, Producers",0,,
The Chicken (Le Poulet),1966,SHORT SUBJECT (Live Action),"Claude Berri, Producer",0,,
The Great Race,1966,SOUND EFFECTS,Tregoweth Brown,0,,
Thunderball,1966,SPECIAL VISUAL EFFECTS,John Stears,0,,
A Man for All Seasons,1967,ACTOR,Paul Scofield,1967,Best Performance by an Actor in a Motion Picture - Drama,Paul Scofield
A Man for All Seasons,1967,ACTOR,Paul Scofield,1967,Best Motion Picture - Drama,"Man for All Seasons, A"
A Man for All Seasons,1967,ACTOR,Paul Scofield,1967,Best Director - Motion Picture,Fred Zinnemann
A Man for All Seasons,1967,CINEMATOGRAPHY (Color),Ted Moore,1967,Best Performance by an Actor in a Motion Picture - Drama,Paul Scofield
A Man for All Seasons,1967,CINEMATOGRAPHY (Color),Ted Moore,1967,Best Motion Picture - Drama,"Man for All Seasons, A"
A Man for All Seasons,1967,CINEMATOGRAPHY (Color),Ted Moore,1967,Best Director - Motion Picture,Fred Zinnemann
A Man for All Seasons,1967,COSTUME DESIGN (Color),"Elizabeth Haffenden, Joan Bridge",1967,Best Performance by an Actor in a Motion Picture - Drama,Paul Scofield
A Man for All Seasons,1967,COSTUME DESIGN (Color),"Elizabeth Haffenden, Joan Bridge",1967,Best Motion Picture - Drama,"Man for All Seasons, A"
A Man for All Seasons,1967,COSTUME DESIGN (Color),"Elizabeth Haffenden, Joan Bridge",1967,Best Director - Motion Picture,Fred Zinnemann
A Man for All Seasons,1967,DIRECTING,Fred Zinnemann,1967,Best Performance by an Actor in a Motion Picture - Drama,Paul Scofield
A Man for All Seasons,1967,DIRECTING,Fred Zinnemann,1967,Best Motion Picture - Drama,"Man for All Seasons, A"
A Man for All Seasons,1967,DIRECTING,Fred Zinnemann,1967,Best Director - Motion Picture,Fred Zinnemann
A Man for All Seasons,1967,BEST PICTURE,"Fred Zinnemann, Producer",1967,Best Performance by an Actor in a Motion Picture - Drama,Paul Scofield
A Man for All Seasons,1967,BEST PICTURE,"Fred Zinnemann, Producer",1967,Best Motion Picture - Drama,"Man for All Seasons, A"
A Man for All Seasons,1967,BEST PICTURE,"Fred Zinnemann, Producer",1967,Best Director - Motion Picture,Fred Zinnemann
A Man for All Seasons,1967,WRITING (Screenplay--based on material from another medium),Robert Bolt,1967,Best Performance by an Actor in a Motion Picture - Drama,Paul Scofield
A Man for All Seasons,1967,WRITING (Screenplay--based on material from another medium),Robert Bolt,1967,Best Motion Picture - Drama,"Man for All Seasons, A"
A Man for All Seasons,1967,WRITING (Screenplay--based on material from another medium),Robert Bolt,1967,Best Director - Motion Picture,Fred Zinnemann
The Fortune Cookie,1967,ACTOR IN A SUPPORTING ROLE,Walter Matthau,0,,
Who's Afraid of Virginia Woolf?,1967,ACTRESS,Elizabeth Taylor,0,,
Who's Afraid of Virginia Woolf?,1967,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis,0,,
Who's Afraid of Virginia Woolf?,1967,ART DIRECTION (Black-and-White),Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins,0,,
Who's Afraid of Virginia Woolf?,1967,CINEMATOGRAPHY (Black-and-White),Haskell Wexler,0,,
Who's Afraid of Virginia Woolf?,1967,COSTUME DESIGN (Black-and-White),Irene Sharaff,0,,
Fantastic Voyage,1967,ART DIRECTION (Color),"Art Direction:  Jack Martin Smith, Dale Hennesy;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",0,,
Fantastic Voyage,1967,SPECIAL VISUAL EFFECTS,Art Cruickshank,0,,
The War Game,1967,DOCUMENTARY (Feature),"Peter Watkins, Producer",0,,
A Year toward Tomorrow,1967,DOCUMENTARY (Short Subject),"Edmond A. Levy, Producer",0,,
Grand Prix,1967,FILM EDITING,"Fredric Steinkamp, Henry Berman, Stewart Linder, Frank Santillo",0,,
Grand Prix,1967,SOUND,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",0,,
Grand Prix,1967,SOUND EFFECTS,Gordon Daniel,0,,
A Man and a Woman,1967,FOREIGN LANGUAGE FILM,France,0,,
A Man and a Woman,1967,WRITING (Story and Screenplay--written directly for the screen),"Story by Claude Lelouch;  Screenplay by Claude Lelouch, Pierre Uytterhoeven",0,,
Born Free,1967,MUSIC (Original Music Score),John Barry,0,,
Born Free,1967,MUSIC (Song),Music by John Barry; Lyrics by Don Black,0,,
A Funny Thing Happened on the Way to the Forum,1967,MUSIC (Scoring of Music--adaptation or treatment),Ken Thorne,0,,
Herb Alpert and the Tijuana Brass Double Feature,1967,SHORT SUBJECT (Cartoon),"John Hubley and Faith Hubley, Producers",0,,
Wild Wings,1967,SHORT SUBJECT (Live Action),"Edgar Anstey, Producer",0,,
In the Heat of the Night,1968,ACTOR,Rod Steiger,1968,Best Performance by an Actor in a Motion Picture - Drama,Rod Steiger
In the Heat of the Night,1968,ACTOR,Rod Steiger,1968,Best Motion Picture - Drama,In the Heat of the Night
In the Heat of the Night,1968,FILM EDITING,Hal Ashby,1968,Best Performance by an Actor in a Motion Picture - Drama,Rod Steiger
In the Heat of the Night,1968,FILM EDITING,Hal Ashby,1968,Best Motion Picture - Drama,In the Heat of the Night
In the Heat of the Night,1968,BEST PICTURE,"Walter Mirisch, Producer",1968,Best Performance by an Actor in a Motion Picture - Drama,Rod Steiger
In the Heat of the Night,1968,BEST PICTURE,"Walter Mirisch, Producer",1968,Best Motion Picture - Drama,In the Heat of the Night
In the Heat of the Night,1968,SOUND,Samuel Goldwyn Studio Sound Department,1968,Best Performance by an Actor in a Motion Picture - Drama,Rod Steiger
In the Heat of the Night,1968,SOUND,Samuel Goldwyn Studio Sound Department,1968,Best Motion Picture - Drama,In the Heat of the Night
In the Heat of the Night,1968,WRITING (Screenplay--based on material from another medium),Stirling Silliphant,1968,Best Performance by an Actor in a Motion Picture - Drama,Rod Steiger
In the Heat of the Night,1968,WRITING (Screenplay--based on material from another medium),Stirling Silliphant,1968,Best Motion Picture - Drama,In the Heat of the Night
Cool Hand Luke,1968,ACTOR IN A SUPPORTING ROLE,George Kennedy,0,,
Guess Who's Coming to Dinner,1968,ACTRESS,Katharine Hepburn,0,,
Guess Who's Coming to Dinner,1968,WRITING (Story and Screenplay--written directly for the screen),William Rose,0,,
Bonnie and Clyde,1968,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons,0,,
Bonnie and Clyde,1968,CINEMATOGRAPHY,Burnett Guffey,0,,
Camelot,1968,ART DIRECTION,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",1968,Best Original Score - Motion Picture,Frederick Loewe
Camelot,1968,ART DIRECTION,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",1968,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Harris
Camelot,1968,ART DIRECTION,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",1968,Best Original Song - Motion Picture,If Ever I Would Leave You
Camelot,1968,COSTUME DESIGN,John Truscott,1968,Best Original Score - Motion Picture,Frederick Loewe
Camelot,1968,COSTUME DESIGN,John Truscott,1968,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Harris
Camelot,1968,COSTUME DESIGN,John Truscott,1968,Best Original Song - Motion Picture,If Ever I Would Leave You
Camelot,1968,MUSIC (Scoring of Music--adaptation or treatment),"Alfred Newman, Ken Darby",1968,Best Original Score - Motion Picture,Frederick Loewe
Camelot,1968,MUSIC (Scoring of Music--adaptation or treatment),"Alfred Newman, Ken Darby",1968,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Harris
Camelot,1968,MUSIC (Scoring of Music--adaptation or treatment),"Alfred Newman, Ken Darby",1968,Best Original Song - Motion Picture,If Ever I Would Leave You
The Graduate,1968,DIRECTING,Mike Nichols,1968,Best Motion Picture - Musical or Comedy,"Graduate, The"
The Graduate,1968,DIRECTING,Mike Nichols,1968,New Star Of The Year - Actress,Katharine Ross
The Graduate,1968,DIRECTING,Mike Nichols,1968,New Star Of The Year - Actor,Dustin Hoffman
The Graduate,1968,DIRECTING,Mike Nichols,1968,Best Director - Motion Picture,Mike Nichols
The Graduate,1968,DIRECTING,Mike Nichols,1968,Actress In A Leading Role - Musical Or Comedy,Anne Bancroft
The Anderson Platoon,1968,DOCUMENTARY (Feature),"Pierre Schoendoerffer, Producer",0,,
The Redwoods,1968,DOCUMENTARY (Short Subject),"Mark Harris and Trevor Greenwood, Producers",0,,
Closely Watched Trains,1968,FOREIGN LANGUAGE FILM,Czechoslovakia,0,,
Thoroughly Modern Millie,1968,MUSIC (Original Music Score),Elmer Bernstein,1968,Best Performance by an Actress in a Supporting Role in any Motion Picture,Carol Channing
Doctor Dolittle,1968,MUSIC (Song),Music and Lyrics by Leslie Bricusse,1968,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Attenborough
Doctor Dolittle,1968,SPECIAL VISUAL EFFECTS,L. B. Abbott,1968,Best Performance by an Actor in a Supporting Role in any Motion Picture,Richard Attenborough
The Box,1968,SHORT SUBJECT (Cartoon),"Fred Wolf, Producer",0,,
A Place to Stand,1968,SHORT SUBJECT (Live Action),"Christopher Chapman, Producer",0,,
The Dirty Dozen,1968,SOUND EFFECTS,John Poyner,0,,
Charly,1969,ACTOR,Cliff Robertson,1969,Best Screenplay - Motion Picture,Sterling Silliphant
The Subject Was Roses,1969,ACTOR IN A SUPPORTING ROLE,Jack Albertson,0,,
The Lion in Winter,1969,ACTRESS,Katharine Hepburn,1969,Best Performance by an Actor in a Motion Picture - Drama,Peter O’Toole
The Lion in Winter,1969,ACTRESS,Katharine Hepburn,1969,Best Motion Picture - Drama,The Lion in Winter
The Lion in Winter,1969,MUSIC (Original Score--for a motion picture [not a musical]),John Barry,1969,Best Performance by an Actor in a Motion Picture - Drama,Peter O’Toole
The Lion in Winter,1969,MUSIC (Original Score--for a motion picture [not a musical]),John Barry,1969,Best Motion Picture - Drama,The Lion in Winter
The Lion in Winter,1969,WRITING (Screenplay--based on material from another medium),James Goldman,1969,Best Performance by an Actor in a Motion Picture - Drama,Peter O’Toole
The Lion in Winter,1969,WRITING (Screenplay--based on material from another medium),James Goldman,1969,Best Motion Picture - Drama,The Lion in Winter
Funny Girl,1969,ACTRESS,Barbra Streisand,1969,Actress In A Leading Role - Musical Or Comedy,Barbra Streisand
Rosemary's Baby,1969,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,1969,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ruth Gordon
Oliver!,1969,ART DIRECTION,"Art Direction:  John Box, Terence Marsh;  Set Decoration:  Vernon Dixon, Ken Muggleston",1969,Best Motion Picture - Musical or Comedy,Oliver!
Oliver!,1969,ART DIRECTION,"Art Direction:  John Box, Terence Marsh;  Set Decoration:  Vernon Dixon, Ken Muggleston",1969,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ron Moody
Oliver!,1969,DIRECTING,Carol Reed,1969,Best Motion Picture - Musical or Comedy,Oliver!
Oliver!,1969,DIRECTING,Carol Reed,1969,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ron Moody
Oliver!,1969,MUSIC (Score of a Musical Picture--original or adaptation),Adaptation score by John Green,1969,Best Motion Picture - Musical or Comedy,Oliver!
Oliver!,1969,MUSIC (Score of a Musical Picture--original or adaptation),Adaptation score by John Green,1969,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ron Moody
Oliver!,1969,BEST PICTURE,"John Woolf, Producer",1969,Best Motion Picture - Musical or Comedy,Oliver!
Oliver!,1969,BEST PICTURE,"John Woolf, Producer",1969,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ron Moody
Oliver!,1969,SOUND,Shepperton Studio Sound Department,1969,Best Motion Picture - Musical or Comedy,Oliver!
Oliver!,1969,SOUND,Shepperton Studio Sound Department,1969,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ron Moody
Romeo and Juliet,1969,CINEMATOGRAPHY,Pasqualino De Santis,1969,New Star Of The Year - Actress,Olivia Hussey
Romeo and Juliet,1969,CINEMATOGRAPHY,Pasqualino De Santis,1969,New Star Of The Year - Actor,Leonard Whiting
Romeo and Juliet,1969,CINEMATOGRAPHY,Pasqualino De Santis,1969,Foreign Film - English Language,Romeo and Juliet
Romeo and Juliet,1969,COSTUME DESIGN,Danilo Donati,1969,New Star Of The Year - Actress,Olivia Hussey
Romeo and Juliet,1969,COSTUME DESIGN,Danilo Donati,1969,New Star Of The Year - Actor,Leonard Whiting
Romeo and Juliet,1969,COSTUME DESIGN,Danilo Donati,1969,Foreign Film - English Language,Romeo and Juliet
Journey into Self,1969,DOCUMENTARY (Feature),"Bill McGaw, Producer",0,,
Why Man Creates,1969,DOCUMENTARY (Short Subject),"Saul Bass, Producer",0,,
Bullitt,1969,FILM EDITING,Frank P. Keller,0,,
War and Peace,1969,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,1957,Foreign Film - Foreign Language,War and Peace
The Thomas Crown Affair,1969,MUSIC (Song--Original for the Picture),Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,1969,Best Original Song - Motion Picture,The Windmills of Your Mind
Winnie the Pooh and the Blustery Day,1969,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
Robert Kennedy Remembered,1969,SHORT SUBJECT (Live Action),"Charles Guggenheim, Producer",0,,
2001: A Space Odyssey,1969,SPECIAL VISUAL EFFECTS,Stanley Kubrick,0,,
The Producers,1969,WRITING (Story and Screenplay--written directly for the screen),Mel Brooks,0,,
True Grit,1970,ACTOR,John Wayne,1970,Best Performance by an Actor in a Motion Picture - Drama,John Wayne
"They Shoot Horses, Don't They?",1970,ACTOR IN A SUPPORTING ROLE,Gig Young,1970,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gig Young
The Prime of Miss Jean Brodie,1970,ACTRESS,Maggie Smith,1970,Best Original Song - Motion Picture,Jean
Cactus Flower,1970,ACTRESS IN A SUPPORTING ROLE,Goldie Hawn,1970,Best Performance by an Actress in a Supporting Role in any Motion Picture,Goldie Hawn
"Hello, Dolly!",1970,ART DIRECTION,"Art Direction:  John DeCuir, Jack Martin Smith, Herman Blumenthal;  Set Decoration:  Walter M. Scott, George Hopkins, Raphael Bretton",0,,
"Hello, Dolly!",1970,MUSIC (Score of a Musical Picture--original or adaptation),Adaptation score by Lennie Hayton and Lionel Newman,0,,
"Hello, Dolly!",1970,SOUND,"Jack Solomon, Murray Spivack",0,,
Butch Cassidy and the Sundance Kid,1970,CINEMATOGRAPHY,Conrad Hall,0,,
Butch Cassidy and the Sundance Kid,1970,MUSIC (Original Score--for a motion picture [not a musical]),Burt Bacharach,0,,
Butch Cassidy and the Sundance Kid,1970,MUSIC (Song--Original for the Picture),Music by Burt Bacharach; Lyrics by Hal David,0,,
Butch Cassidy and the Sundance Kid,1970,WRITING (Story and Screenplay--based on material not previously published or produced),William Goldman,0,,
Anne of the Thousand Days,1970,COSTUME DESIGN,Margaret Furse,1970,Best Screenplay - Motion Picture,Bridget Boland
Anne of the Thousand Days,1970,COSTUME DESIGN,Margaret Furse,1970,Best Motion Picture - Drama,Anne of the Thousand Days
Anne of the Thousand Days,1970,COSTUME DESIGN,Margaret Furse,1970,Best Director - Motion Picture,Charles Jarrott
Anne of the Thousand Days,1970,COSTUME DESIGN,Margaret Furse,1970,Best Performance by an Actress in a Motion Picture - Drama,Geneviève Bujold
Midnight Cowboy,1970,DIRECTING,John Schlesinger,1970,New Star Of The Year - Actor,Jon Voight
Midnight Cowboy,1970,BEST PICTURE,"Jerome Hellman, Producer",1970,New Star Of The Year - Actor,Jon Voight
Midnight Cowboy,1970,WRITING (Screenplay--based on material from another medium),Waldo Salt,1970,New Star Of The Year - Actor,Jon Voight
Arthur Rubinstein - The Love of Life,1970,DOCUMENTARY (Feature),"Bernard Chevry, Producer",0,,
Czechoslovakia 1968,1970,DOCUMENTARY (Short Subject),"Denis Sanders and Robert M. Fresco, Producers",0,,
Z,1970,FILM EDITING,Françoise Bonnot,1970,Foreign Film - Foreign Language,Z
Z,1970,FOREIGN LANGUAGE FILM,Algeria,1970,Foreign Film - Foreign Language,Z
It's Tough to Be a Bird,1970,SHORT SUBJECT (Cartoon),"Ward Kimball, Producer",0,,
The Magic Machines,1970,SHORT SUBJECT (Live Action),"Joan Keller Stern, Producer",0,,
Marooned,1970,SPECIAL VISUAL EFFECTS,Robbie Robertson,0,,
Patton,1971,ACTOR,George C. Scott,0,,
Patton,1971,ART DIRECTION,"Art Direction:  Urie McCleary, Gil Parrondo;  Set Decoration:  Antonio Mateos, Pierre-Louis Thevenet",0,,
Patton,1971,DIRECTING,Franklin J. Schaffner,0,,
Patton,1971,FILM EDITING,Hugh S. Fowler,0,,
Patton,1971,BEST PICTURE,"Frank McCarthy, Producer",0,,
Patton,1971,SOUND,"Douglas Williams, Don Bassman",0,,
Patton,1971,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),"Francis Ford Coppola, Edmund H. North",0,,
Ryan's Daughter,1971,ACTOR IN A SUPPORTING ROLE,John Mills,1971,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Mills
Ryan's Daughter,1971,CINEMATOGRAPHY,Freddie Young,1971,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Mills
Women in Love,1971,ACTRESS,Glenda Jackson,0,,
Airport,1971,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,1971,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton
Cromwell,1971,COSTUME DESIGN,Nino Novarese,0,,
Woodstock,1971,DOCUMENTARY (Feature),"Bob Maurice, Producer",0,,
Interviews with My Lai Veterans,1971,DOCUMENTARY (Short Subject),"Joseph Strick, Producer",0,,
Investigation of a Citizen above Suspicion,1971,FOREIGN LANGUAGE FILM,Italy,0,,
Love Story,1971,MUSIC (Original Score),Francis Lai,1971,Best Screenplay - Motion Picture,Erich Segal
Love Story,1971,MUSIC (Original Score),Francis Lai,1971,Best Motion Picture - Drama,Love Story
Love Story,1971,MUSIC (Original Score),Francis Lai,1971,Best Original Score - Motion Picture,Francis Lai
Love Story,1971,MUSIC (Original Score),Francis Lai,1971,Best Director - Motion Picture,Arthur Hiller
Love Story,1971,MUSIC (Original Score),Francis Lai,1971,Best Performance by an Actress in a Motion Picture - Drama,Ali MacGraw
Let It Be,1971,MUSIC (Original Song Score),Music and lyrics by The Beatles,0,,
Lovers and Other Strangers,1971,MUSIC (Song--Original for the Picture),Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),0,,
Is It Always Right to Be Right?,1971,SHORT SUBJECT (Cartoon),"Nick Bosustow, Producer",0,,
The Resurrection of Broncho Billy,1971,SHORT SUBJECT (Live Action),"John Longenecker, Producer",0,,
Tora! Tora! Tora!,1971,SPECIAL VISUAL EFFECTS,"A. D. Flowers, L. B. Abbott",0,,
M*A*S*H,1971,WRITING (Screenplay--based on material from another medium),"Ring Lardner, Jr.",1971,Best Motion Picture - Musical or Comedy,M*A*S*H
The French Connection,1972,ACTOR,Gene Hackman,1972,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman
The French Connection,1972,ACTOR,Gene Hackman,1972,Best Director - Motion Picture,William Friedkin
The French Connection,1972,DIRECTING,William Friedkin,1972,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman
The French Connection,1972,DIRECTING,William Friedkin,1972,Best Director - Motion Picture,William Friedkin
The French Connection,1972,FILM EDITING,Jerry Greenberg,1972,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman
The French Connection,1972,FILM EDITING,Jerry Greenberg,1972,Best Director - Motion Picture,William Friedkin
The French Connection,1972,BEST PICTURE,"Philip D'Antoni, Producer",1972,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman
The French Connection,1972,BEST PICTURE,"Philip D'Antoni, Producer",1972,Best Director - Motion Picture,William Friedkin
The French Connection,1972,WRITING (Screenplay--based on material from another medium),Ernest Tidyman,1972,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman
The French Connection,1972,WRITING (Screenplay--based on material from another medium),Ernest Tidyman,1972,Best Director - Motion Picture,William Friedkin
The Last Picture Show,1972,ACTOR IN A SUPPORTING ROLE,Ben Johnson,1972,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Johnson
The Last Picture Show,1972,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman,1972,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Johnson
Klute,1972,ACTRESS,Jane Fonda,0,,
Nicholas and Alexandra,1972,ART DIRECTION,"Art Direction:  John Box, Ernest Archer, Jack Maxsted, Gil Parrondo;  Set Decoration:  Vernon Dixon",0,,
Nicholas and Alexandra,1972,COSTUME DESIGN,"Yvonne Blake, Antonio Castillo",0,,
Fiddler on the Roof,1972,CINEMATOGRAPHY,Oswald Morris,1972,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chaim Topol
Fiddler on the Roof,1972,MUSIC (Scoring: Adaptation and Original Song Score),Adaptation Score by John Williams,1972,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chaim Topol
Fiddler on the Roof,1972,SOUND,"Gordon K. McCallum, David Hildyard",1972,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chaim Topol
The Hellstrom Chronicle,1972,DOCUMENTARY (Feature),"Walon Green, Producer",0,,
Sentinels of Silence,1972,DOCUMENTARY (Short Subject),"Manuel Arango and Robert Amram, Producers",0,,
Sentinels of Silence,1972,SHORT SUBJECT (Live Action),"Manuel Arango and Robert Amram, Producers",0,,
The Garden of the Finzi Continis,1972,FOREIGN LANGUAGE FILM,Italy,0,,
Summer of '42,1972,MUSIC (Original Dramatic Score),Michel Legrand,0,,
Shaft,1972,MUSIC (Song--Original for the Picture),Music and Lyrics by Isaac Hayes,1972,Best Original Score - Motion Picture,Isaac Hayes
The Crunch Bird,1972,SHORT SUBJECT (Animated),"Ted Petok, Producer",0,,
Bedknobs and Broomsticks,1972,SPECIAL VISUAL EFFECTS,"Alan Maley, Eustace Lycett, Danny Lee",0,,
The Hospital,1972,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Paddy Chayefsky,0,,
The Godfather,1973,ACTOR,Marlon Brando,1973,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando
The Godfather,1973,ACTOR,Marlon Brando,1973,Best Screenplay - Motion Picture,Francis Ford Coppola
The Godfather,1973,ACTOR,Marlon Brando,1973,Best Motion Picture - Drama,"Godfather, The"
The Godfather,1973,ACTOR,Marlon Brando,1973,Best Original Score - Motion Picture,Nino Rota
The Godfather,1973,BEST PICTURE,"Albert S. Ruddy, Producer",1973,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando
