Movie Name,Year Ceremony,Oscar Award,Oscar Winner,Year,Golden Globe Award,GG Winer
The Gay Divorcee,1935,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,0,,
The Tortoise and the Hare,1935,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
La Cucaracha,1935,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",0,,
City of Wax,1935,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",0,,
Manhattan Melodrama,1935,WRITING (Original Story),Arthur Caesar,0,,
The Informer,1936,ACTOR,Victor McLaglen,0,,
The Informer,1936,DIRECTING,John Ford,0,,
The Informer,1936,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",0,,
The Informer,1936,WRITING (Screenplay),Dudley Nichols,0,,
Dangerous,1936,ACTRESS,Bette Davis,0,,
The Dark Angel,1936,ART DIRECTION,Richard Day,0,,
The Lives of a Bengal Lancer,1936,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing",0,,
A Midsummer Night's Dream,1936,CINEMATOGRAPHY,Hal Mohr,0,,
A Midsummer Night's Dream,1936,FILM EDITING,Ralph Dawson,0,,
Broadway Melody of 1936;,1936,DANCE DIRECTION,Dave Gould,0,,
Gold Diggers of 1935,1936,MUSIC (Song),Music by Harry Warren; Lyrics by Al Dubin,0,,
Mutiny on the Bounty,1936,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,0,,
Three Orphan Kittens,1936,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
How to Sleep,1936,SHORT SUBJECT (Comedy),"Jack Chertok, Producer",0,,
Wings over Mt. Everest,1936,SHORT SUBJECT (Novelty),Gaumont British and Skibo Productions,0,,
Naughty Marietta,1936,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",0,,
The Scoundrel,1936,WRITING (Original Story),"Ben Hecht, Charles MacArthur",0,,
The Story of Louis Pasteur,1937,ACTOR,Paul Muni,0,,
The Story of Louis Pasteur,1937,WRITING (Original Story),"Pierre Collings, Sheridan Gibney",0,,
The Story of Louis Pasteur,1937,WRITING (Screenplay),"Pierre Collings, Sheridan Gibney",0,,
Come and Get It,1937,ACTOR IN A SUPPORTING ROLE,Walter Brennan,0,,
The Great Ziegfeld,1937,ACTRESS,Luise Rainer,0,,
The Great Ziegfeld,1937,DANCE DIRECTION,Seymour Felix,0,,
The Great Ziegfeld,1937,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,0,,
Anthony Adverse,1937,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,0,,
Anthony Adverse,1937,CINEMATOGRAPHY,Gaetano Gaudio,0,,
Anthony Adverse,1937,FILM EDITING,Ralph Dawson,0,,
Anthony Adverse,1937,MUSIC (Scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",0,,
Dodsworth,1937,ART DIRECTION,Richard Day,0,,
The Charge of the Light Brigade,1937,ASSISTANT DIRECTOR,Jack Sullivan,0,,
Mr. Deeds Goes to Town,1937,DIRECTING,Frank Capra,0,,
Swing Time,1937,MUSIC (Song),Music by Jerome Kern; Lyrics by Dorothy Fields,0,,
The Country Cousin,1937,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
Give Me Liberty,1937,SHORT SUBJECT (Color),Warner Bros.,0,,
Bored of Education,1937,SHORT SUBJECT (One-reel),"Hal Roach, Producer",0,,
The Public Pays,1937,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,0,,
San Francisco,1937,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",0,,
Captains Courageous,1938,ACTOR,Spencer Tracy,0,,
The Life of Emile Zola,1938,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,0,,
The Life of Emile Zola,1938,OUTSTANDING PRODUCTION,Warner Bros.,0,,
The Life of Emile Zola,1938,WRITING (Screenplay),"Norman Reilly Raine, Heinz Herald, Geza Herczeg",0,,
The Good Earth,1938,ACTRESS,Luise Rainer,0,,
The Good Earth,1938,CINEMATOGRAPHY,Karl Freund,0,,
In Old Chicago,1938,ACTRESS IN A SUPPORTING ROLE,Alice Brady,0,,
In Old Chicago,1938,ASSISTANT DIRECTOR,Robert Webb,0,,
Lost Horizon,1938,ART DIRECTION,Stephen Goosson,0,,
Lost Horizon,1938,FILM EDITING,"Gene Havlick, Gene Milford",0,,
A Damsel in Distress,1938,DANCE DIRECTION,Hermes Pan,0,,
The Awful Truth,1938,DIRECTING,Leo McCarey,0,,
One Hundred Men and a Girl,1938,MUSIC (Scoring),"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",0,,
Waikiki Wedding,1938,MUSIC (Song),Music and Lyrics by Harry Owens,0,,
The Old Mill,1938,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
Penny Wisdom,1938,SHORT SUBJECT (Color),"Pete Smith, Producer",0,,
The Private Life of the Gannets,1938,SHORT SUBJECT (One-reel),Skibo Productions,0,,
Torture Money,1938,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,0,,
The Hurricane,1938,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",2000,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington
A Star Is Born,1938,WRITING (Original Story),"William A. Wellman, Robert Carson",0,,
A Star Is Born,1977,MUSIC (Original Song),Music by Barbra Streisand; Lyrics by Paul Williams,0,,
A Star Is Born,2019,MUSIC (Original Song),"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt",0,,
Boys Town,1939,ACTOR,Spencer Tracy,0,,
Boys Town,1939,WRITING (Original Story),"Dore Schary, Eleanore Griffin",0,,
Kentucky,1939,ACTOR IN A SUPPORTING ROLE,Walter Brennan,0,,
Jezebel,1939,ACTRESS,Bette Davis,0,,
Jezebel,1939,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,0,,
The Adventures of Robin Hood,1939,ART DIRECTION,Carl J. Weyl,0,,
The Adventures of Robin Hood,1939,FILM EDITING,Ralph Dawson,0,,
The Adventures of Robin Hood,1939,MUSIC (Original Score),Erich Wolfgang Korngold,0,,
The Great Waltz,1939,CINEMATOGRAPHY,Joseph Ruttenberg,0,,
You Can't Take It with You,1939,DIRECTING,Frank Capra,0,,
You Can't Take It with You,1939,OUTSTANDING PRODUCTION,Columbia,0,,
Alexander's Ragtime Band,1939,MUSIC (Scoring),Alfred Newman,0,,
The Big Broadcast of 1938,1939,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,0,,
Ferdinand the Bull,1939,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
That Mothers Might Live,1939,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,0,,
Declaration of Independence,1939,SHORT SUBJECT (Two-reel),Warner Bros.,0,,
The Cowboy and the Lady,1939,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",0,,
Pygmalion,1939,WRITING (Screenplay),"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",0,,
"Goodbye, Mr. Chips",1940,ACTOR,Robert Donat,1970,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter O’Toole
Stagecoach,1940,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,0,,
Stagecoach,1940,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",0,,
Gone with the Wind,1940,ACTRESS,Vivien Leigh,0,,
Gone with the Wind,1940,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,0,,
Gone with the Wind,1940,ART DIRECTION,Lyle Wheeler,0,,
Gone with the Wind,1940,CINEMATOGRAPHY (Color),"Ernest Haller, Ray Rennahan",0,,
Gone with the Wind,1940,DIRECTING,Victor Fleming,0,,
Gone with the Wind,1940,FILM EDITING,"Hal C. Kern, James E. Newcom",0,,
Gone with the Wind,1940,OUTSTANDING PRODUCTION,Selznick International Pictures,0,,
Gone with the Wind,1940,WRITING (Screenplay),Sidney Howard,0,,
Wuthering Heights,1940,CINEMATOGRAPHY (Black-and-White),Gregg Toland,0,,
